Well,Bankside,Statistic,Temp,SPC,DO,pH,Alkalinity,Cl,SO4,NO3,Ca,K,NH4,Mg,Na
1,Ag,Mean,14.70,646.88,30.05,6.81,355.73,2.07,35.14,0.81,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Ag,SD,1.54,36.81,9.04,0.26,20.30,0.18,1.12,0.16,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,Pr,Mean,14.71,649.63,30.91,6.94,336.03,2.01,35.85,0.67,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Pr,SD,1.40,26.16,8.10,0.15,12.90,0.14,0.95,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,Pr,Mean,14.15,669.00,35.38,6.91,338.75,2.00,35.09,0.69,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Pr,SD,0.42,5.94,3.43,0.10,6.70,0.14,1.06,0.22,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,Ag,Mean,15.03,651.13,26.56,6.79,341.17,2.07,35.13,0.85,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Ag,SD,1.18,38.80,6.83,0.31,5.00,0.09,1.00,0.14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Pr,Mean,14.45,643.00,29.18,6.86,339.81,1.99,34.82,0.62,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Pr,SD,1.16,30.51,7.84,0.16,6.62,0.12,1.08,0.14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Ag,Mean,15.21,636.75,27.65,6.81,337.30,2.21,37.42,1.04,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Ag,SD,1.20,37.49,7.48,0.19,11.26,0.06,0.82,0.13,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Ag,Mean,14.16,641.63,24.80,6.70,336.72,2.17,35.29,0.83,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Ag,SD,1.23,28.94,8.03,0.36,7.90,0.18,1.08,0.15,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8,Pr,Mean,14.31,647.00,31.88,6.82,344.02,2.16,35.77,0.46,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Pr,SD,0.93,31.71,10.52,0.17,8.76,0.07,1.51,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
