Date_Time,Pressure_(kPa),Temperature,Conducitivity,Unknown
9/1/16 16:03,12.73,13.62,531.99,3.71
9/1/16 16:08,12.73,13.62,532,3.71
9/1/16 16:13,12.73,13.62,532.11,3.71
9/1/16 16:18,12.72,13.62,532.22,3.71
9/1/16 16:23,12.7,13.62,532.3,3.71
9/1/16 16:28,12.71,13.62,532.42,3.71
9/1/16 16:33,12.71,13.62,532.49,3.71
9/1/16 16:38,12.71,13.62,532.53,3.71
9/1/16 16:43,12.69,13.62,532.56,3.71
9/1/16 16:48,12.7,13.62,532.69,3.71
9/1/16 16:53,12.69,13.62,532.75,3.71
9/1/16 16:58,12.69,13.62,532.72,3.71
9/1/16 17:03,12.69,13.62,532.86,3.71
9/1/16 17:08,12.68,13.62,532.89,3.71
9/1/16 17:13,12.68,13.62,532.85,3.71
9/1/16 17:18,12.68,13.62,532.94,3.71
9/1/16 17:23,12.67,13.62,532.94,3.71
9/1/16 17:28,12.67,13.62,533.01,3.71
9/1/16 17:33,12.67,13.62,533.07,3.71
9/1/16 17:38,12.67,13.62,533.15,3.71
9/1/16 17:43,12.67,13.62,533.2,3.71
9/1/16 17:48,12.66,13.62,533.28,3.71
9/1/16 17:53,12.65,13.62,533.33,3.71
9/1/16 17:58,12.66,13.62,533.36,3.71
9/1/16 18:03,12.64,13.62,533.42,3.71
9/1/16 18:08,12.64,13.62,533.42,3.71
9/1/16 18:13,12.64,13.62,533.53,3.71
9/1/16 18:18,12.64,13.62,533.57,3.71
9/1/16 18:23,12.63,13.62,533.58,3.71
9/1/16 18:28,12.62,13.62,533.65,3.71
9/1/16 18:33,12.63,13.62,533.63,3.71
9/1/16 18:38,12.63,13.62,533.76,3.71
9/1/16 18:43,12.62,13.62,533.84,3.71
9/1/16 18:48,12.62,13.62,533.79,3.71
9/1/16 18:53,12.61,13.62,533.95,3.71
9/1/16 18:58,12.61,13.62,533.93,3.71
9/1/16 19:03,12.61,13.62,534.02,3.71
9/1/16 19:08,12.61,13.62,534.05,3.71
9/1/16 19:13,12.6,13.62,534.03,3.71
9/1/16 19:18,12.6,13.62,534.18,3.71
9/1/16 19:23,12.6,13.62,534.24,3.71
9/1/16 19:28,12.59,13.62,534.14,3.71
9/1/16 19:33,12.58,13.62,534.18,3.71
9/1/16 19:38,12.59,13.62,534.16,3.71
9/1/16 19:43,12.59,13.62,534.25,3.71
9/1/16 19:48,12.58,13.62,534.2,3.71
9/1/16 19:53,12.58,13.62,534.31,3.71
9/1/16 19:58,12.59,13.62,534.32,3.71
9/1/16 20:03,12.57,13.62,534.37,3.71
9/1/16 20:08,12.58,13.62,534.42,3.71
9/1/16 20:13,12.58,13.62,534.37,3.71
9/1/16 20:18,12.58,13.62,534.42,3.71
9/1/16 20:23,12.57,13.62,534.56,3.71
9/1/16 20:28,12.57,13.62,534.53,3.71
9/1/16 20:33,12.58,13.62,534.6,3.71
9/1/16 20:38,12.57,13.62,534.61,3.71
9/1/16 20:43,12.57,13.62,534.63,3.71
9/1/16 20:48,12.57,13.62,534.59,3.71
9/1/16 20:53,12.57,13.62,534.67,3.71
9/1/16 20:58,12.57,13.62,534.66,3.71
9/1/16 21:03,12.56,13.62,534.76,3.71
9/1/16 21:08,12.56,13.62,534.66,3.71
9/1/16 21:13,12.55,13.62,534.79,3.71
9/1/16 21:18,12.55,13.62,534.77,3.71
9/1/16 21:23,12.55,13.62,534.83,3.71
9/1/16 21:28,12.55,13.62,534.89,3.71
9/1/16 21:33,12.56,13.62,534.84,3.71
9/1/16 21:38,12.56,13.62,534.93,3.71
9/1/16 21:43,12.55,13.62,534.87,3.71
9/1/16 21:48,12.55,13.62,534.91,3.71
9/1/16 21:53,12.54,13.62,534.87,3.71
9/1/16 21:58,12.55,13.62,534.88,3.71
9/1/16 22:03,12.55,13.62,534.88,3.71
9/1/16 22:08,12.55,13.62,535,3.71
9/1/16 22:13,12.53,13.62,534.98,3.71
9/1/16 22:18,12.54,13.62,534.97,3.71
9/1/16 22:23,12.53,13.62,535.02,3.71
9/1/16 22:28,12.54,13.62,535.03,3.71
9/1/16 22:33,12.54,13.62,534.98,3.71
9/1/16 22:38,12.55,13.62,534.96,3.71
9/1/16 22:43,12.55,13.62,535.06,3.71
9/1/16 22:48,12.55,13.62,535.06,3.71
9/1/16 22:53,12.55,13.62,534.93,3.71
9/1/16 22:58,12.55,13.62,535.03,3.71
9/1/16 23:03,12.55,13.62,534.97,3.71
9/1/16 23:08,12.54,13.62,534.96,3.71
9/1/16 23:13,12.56,13.62,534.97,3.71
9/1/16 23:18,12.55,13.62,535.02,3.71
9/1/16 23:23,12.56,13.62,534.94,3.71
9/1/16 23:28,12.56,13.62,534.94,3.71
9/1/16 23:33,12.55,13.62,534.99,3.71
9/1/16 23:38,12.56,13.62,534.96,3.71
9/1/16 23:43,12.57,13.62,534.88,3.71
9/1/16 23:48,12.57,13.62,534.95,3.71
9/1/16 23:53,12.57,13.62,534.91,3.71
9/1/16 23:58,12.57,13.62,534.93,3.71
9/2/16 0:03,12.58,13.62,534.84,3.71
9/2/16 0:08,12.57,13.62,534.94,3.71
9/2/16 0:13,12.57,13.62,534.96,3.71
9/2/16 0:18,12.56,13.62,534.88,3.71
9/2/16 0:23,12.59,13.62,534.89,3.71
9/2/16 0:28,12.58,13.62,534.93,3.71
9/2/16 0:33,12.59,13.62,534.81,3.71
9/2/16 0:38,12.59,13.62,534.77,3.71
9/2/16 0:43,12.59,13.62,534.77,3.71
9/2/16 0:48,12.59,13.62,534.74,3.71
9/2/16 0:53,12.6,13.62,534.8,3.71
9/2/16 0:58,12.6,13.62,534.75,3.71
9/2/16 1:03,12.6,13.62,534.67,3.71
9/2/16 1:08,12.6,13.62,534.61,3.71
9/2/16 1:13,12.6,13.62,534.6,3.71
9/2/16 1:18,12.6,13.62,534.55,3.71
9/2/16 1:23,12.61,13.62,534.58,3.71
9/2/16 1:28,12.61,13.62,534.45,3.71
9/2/16 1:33,12.61,13.62,534.47,3.71
9/2/16 1:38,12.61,13.62,534.47,3.71
9/2/16 1:43,12.6,13.62,534.33,3.71
9/2/16 1:48,12.62,13.62,534.31,3.71
9/2/16 1:53,12.63,13.62,534.22,3.71
9/2/16 1:58,12.63,13.62,534.16,3.71
9/2/16 2:03,12.62,13.62,534.02,3.71
9/2/16 2:08,12.62,13.62,533.98,3.71
9/2/16 2:13,12.63,13.62,533.93,3.71
9/2/16 2:18,12.63,13.62,533.86,3.71
9/2/16 2:23,12.63,13.62,533.84,3.71
9/2/16 2:28,12.64,13.62,533.76,3.71
9/2/16 2:33,12.63,13.62,533.74,3.71
9/2/16 2:38,12.63,13.62,533.68,3.71
9/2/16 2:43,12.64,13.62,533.65,3.71
9/2/16 2:48,12.64,13.62,533.57,3.71
9/2/16 2:53,12.64,13.62,533.54,3.71
9/2/16 2:58,12.65,13.62,533.49,3.71
9/2/16 3:03,12.64,13.62,533.46,3.71
9/2/16 3:08,12.65,13.62,533.49,3.71
9/2/16 3:13,12.65,13.62,533.34,3.71
9/2/16 3:18,12.64,13.62,533.32,3.71
9/2/16 3:23,12.65,13.62,533.29,3.71
9/2/16 3:28,12.65,13.62,533.37,3.71
9/2/16 3:33,12.66,13.62,533.23,3.71
9/2/16 3:38,12.66,13.62,533.32,3.71
9/2/16 3:43,12.66,13.62,533.23,3.71
9/2/16 3:48,12.66,13.63,533.23,3.71
9/2/16 3:53,12.66,13.62,533.27,3.71
9/2/16 3:58,12.66,13.63,533.2,3.71
9/2/16 4:03,12.65,13.63,533.22,3.71
9/2/16 4:08,12.66,13.63,533.25,3.71
9/2/16 4:13,12.66,13.63,533.18,3.71
9/2/16 4:18,12.67,13.63,533.27,3.71
9/2/16 4:23,12.67,13.63,533.21,3.71
9/2/16 4:28,12.67,13.63,533.22,3.71
9/2/16 4:33,12.67,13.63,533.24,3.71
9/2/16 4:38,12.67,13.63,533.26,3.71
9/2/16 4:43,12.67,13.63,533.24,3.71
9/2/16 4:48,12.67,13.63,533.28,3.71
9/2/16 4:53,12.67,13.63,533.21,3.71
9/2/16 4:58,12.67,13.63,533.21,3.71
9/2/16 5:03,12.67,13.63,533.25,3.71
9/2/16 5:08,12.67,13.63,533.15,3.71
9/2/16 5:13,12.67,13.63,533.25,3.71
9/2/16 5:18,12.67,13.63,533.26,3.71
9/2/16 5:23,12.67,13.63,533.21,3.71
9/2/16 5:28,12.67,13.63,533.22,3.71
9/2/16 5:33,12.68,13.63,533.3,3.71
9/2/16 5:38,12.67,13.63,533.21,3.71
9/2/16 5:43,12.67,13.63,533.23,3.71
9/2/16 5:48,12.68,13.63,533.17,3.71
9/2/16 5:53,12.68,13.63,533.15,3.71
9/2/16 5:58,12.68,13.63,533.15,3.71
9/2/16 6:03,12.68,13.63,533.14,3.71
9/2/16 6:08,12.68,13.63,533.16,3.71
9/2/16 6:13,12.67,13.63,533.13,3.71
9/2/16 6:18,12.69,13.63,533.12,3.71
9/2/16 6:23,12.69,13.63,533.14,3.71
9/2/16 6:28,12.69,13.63,533.11,3.71
9/2/16 6:33,12.69,13.63,533.13,3.71
9/2/16 6:38,12.68,13.63,533.31,3.71
9/2/16 6:43,12.69,13.63,533.2,3.71
9/2/16 6:48,12.69,13.63,533.12,3.71
9/2/16 6:53,12.69,13.63,533.26,3.71
9/2/16 6:58,12.69,13.63,533.18,3.71
9/2/16 7:03,12.69,13.63,533.22,3.71
9/2/16 7:08,12.69,13.63,533.19,3.71
9/2/16 7:13,12.69,13.63,533.24,3.71
9/2/16 7:18,12.69,13.63,533.23,3.71
9/2/16 7:23,12.69,13.63,533.25,3.71
9/2/16 7:28,12.69,13.63,533.25,3.71
9/2/16 7:33,12.69,13.63,533.31,3.71
9/2/16 7:38,12.69,13.63,533.27,3.71
9/2/16 7:43,12.69,13.63,533.22,3.71
9/2/16 7:48,12.68,13.63,533.24,3.71
9/2/16 7:53,12.69,13.63,533.16,3.71
9/2/16 7:58,12.69,13.63,533.18,3.71
9/2/16 8:03,12.7,13.63,533.16,3.71
9/2/16 8:08,12.68,13.63,533.18,3.71
9/2/16 8:13,12.7,13.63,533.19,3.71
9/2/16 8:18,12.69,13.63,533.16,3.71
9/2/16 8:23,12.69,13.63,533.14,3.71
9/2/16 8:28,12.69,13.63,533.14,3.71
9/2/16 8:33,12.7,13.63,533.18,3.71
9/2/16 8:38,12.69,13.63,533.18,3.71
9/2/16 8:43,12.7,13.63,533.21,3.71
9/2/16 8:48,12.7,13.63,533.13,3.71
9/2/16 8:53,12.69,13.63,533.2,3.71
9/2/16 8:58,12.7,13.63,533.15,3.71
9/2/16 9:03,12.7,13.63,533.28,3.71
9/2/16 9:08,12.7,13.63,533.19,3.71
9/2/16 9:13,12.7,13.63,533.24,3.71
9/2/16 9:18,12.7,13.63,533.19,3.71
9/2/16 9:23,12.68,13.63,533.28,3.71
9/2/16 9:28,12.7,13.63,533.3,3.71
9/2/16 9:33,12.7,13.63,533.31,3.71
9/2/16 9:38,12.69,13.63,533.18,3.71
9/2/16 9:43,12.69,13.63,533.31,3.71
9/2/16 9:48,12.7,13.63,533.28,3.71
9/2/16 9:53,12.7,13.63,533.24,3.71
9/2/16 9:58,12.7,13.63,533.27,3.71
9/2/16 10:03,12.71,13.63,533.24,3.71
9/2/16 10:08,12.69,13.63,533.29,3.71
9/2/16 10:13,12.7,13.63,533.28,3.71
9/2/16 10:18,12.7,13.63,533.2,3.71
9/2/16 10:23,12.7,13.63,533.22,3.71
9/2/16 10:28,12.7,13.63,533.19,3.71
9/2/16 10:33,12.7,13.63,533.17,3.71
9/2/16 10:38,12.68,13.63,533.16,3.71
9/2/16 10:43,12.7,13.63,533.13,3.71
9/2/16 10:48,12.7,13.63,533.15,3.71
9/2/16 10:53,12.7,13.63,533.16,3.71
9/2/16 10:58,12.71,13.63,533.08,3.71
9/2/16 11:03,12.71,13.63,533.11,3.71
9/2/16 11:08,12.71,13.63,533.09,3.71
9/2/16 11:13,12.71,13.63,533.03,3.71
9/2/16 11:18,12.7,13.63,533.09,3.71
9/2/16 11:23,12.7,13.63,533.12,3.71
9/2/16 11:28,12.71,13.63,533.01,3.71
9/2/16 11:33,12.71,13.63,533.08,3.71
9/2/16 11:38,12.71,13.63,533.15,3.71
9/2/16 11:43,12.71,13.63,533.14,3.71
9/2/16 11:48,12.7,13.63,533.09,3.71
9/2/16 11:53,12.7,13.63,533.04,3.71
9/2/16 11:58,12.7,13.63,533.16,3.71
9/2/16 12:03,12.71,13.63,533.16,3.71
9/2/16 12:08,12.71,13.63,533.13,3.71
9/2/16 12:13,12.7,13.63,533.13,3.71
9/2/16 12:18,12.7,13.63,533.17,3.71
9/2/16 12:23,12.7,13.63,533.16,3.71
9/2/16 12:28,12.71,13.63,533.14,3.71
9/2/16 12:33,12.7,13.63,533.18,3.71
9/2/16 12:38,12.69,13.63,533.22,3.71
9/2/16 12:43,12.7,13.63,533.3,3.71
9/2/16 12:48,12.7,13.63,533.36,3.71
9/2/16 12:53,12.7,13.63,533.4,3.71
9/2/16 12:58,12.7,13.63,533.37,3.71
9/2/16 13:03,12.7,13.63,533.51,3.71
9/2/16 13:08,12.7,13.63,533.45,3.71
9/2/16 13:13,12.7,13.63,533.54,3.71
9/2/16 13:18,12.69,13.63,533.55,3.71
9/2/16 13:23,12.7,13.63,533.6,3.71
9/2/16 13:28,12.7,13.63,533.65,3.71
9/2/16 13:33,12.71,13.63,533.7,3.71
9/2/16 13:38,12.7,13.63,533.87,3.71
9/2/16 13:43,12.7,13.63,533.92,3.71
9/2/16 13:48,12.7,13.63,533.99,3.71
9/2/16 13:53,12.71,13.63,534.07,3.71
9/2/16 13:58,12.71,13.63,534.22,3.71
9/2/16 14:03,12.71,13.63,534.29,3.71
9/2/16 14:08,12.7,13.63,534.39,3.71
9/2/16 14:13,12.7,13.63,534.48,3.71
9/2/16 14:18,12.7,13.63,534.59,3.71
9/2/16 14:23,12.68,13.63,534.77,3.71
9/2/16 14:49,12.69,13.63,535.26,3.71
9/2/16 14:54,12.7,13.63,535.35,3.71
9/2/16 14:59,12.68,13.63,535.44,3.71
9/2/16 15:04,12.69,13.63,535.53,3.71
9/2/16 15:09,12.68,13.63,535.65,3.71
9/2/16 15:14,12.69,13.63,535.7,3.71
9/2/16 15:19,12.69,13.63,535.75,3.71
9/2/16 15:24,12.68,13.63,535.73,3.71
9/2/16 15:29,12.69,13.63,535.86,3.71
9/2/16 15:34,12.68,13.63,535.85,3.71
9/2/16 15:39,12.69,13.63,535.84,3.71
9/2/16 15:44,12.69,13.63,535.86,3.71
9/2/16 15:49,12.68,13.63,535.76,3.71
9/2/16 15:54,12.68,13.63,535.89,3.71
9/2/16 15:59,12.67,13.63,535.87,3.71
9/2/16 16:04,12.67,13.63,535.95,3.71
9/2/16 16:09,12.67,13.63,536,3.71
9/2/16 16:14,12.67,13.63,535.98,3.71
9/2/16 16:19,12.67,13.63,535.98,3.71
9/2/16 16:24,12.67,13.63,535.92,3.71
9/2/16 16:29,12.67,13.63,535.91,3.71
9/2/16 16:34,12.67,13.63,536.02,3.71
9/2/16 16:39,12.66,13.63,536.02,3.71
9/2/16 16:44,12.66,13.63,536.08,3.71
9/2/16 16:49,12.65,13.63,536.08,3.71
9/2/16 16:54,12.63,13.63,536.16,3.71
9/2/16 16:59,12.65,13.63,536.08,3.71
9/2/16 17:04,12.65,13.63,536.16,3.71
9/2/16 17:09,12.64,13.63,536.08,3.71
9/2/16 17:14,12.63,13.63,536.03,3.71
9/2/16 17:19,12.64,13.63,536.06,3.71
9/2/16 17:24,12.63,13.63,536,3.71
9/2/16 17:29,12.63,13.63,536.02,3.71
9/2/16 17:34,12.63,13.63,536.03,3.71
9/2/16 17:39,12.61,13.63,536.08,3.71
9/2/16 17:44,12.63,13.63,535.84,3.71
9/2/16 17:49,12.62,13.63,535.98,3.71
9/2/16 17:54,12.62,13.63,536.03,3.71
9/2/16 17:59,12.62,13.63,536.01,3.71
9/2/16 18:04,12.61,13.63,536.03,3.71
9/2/16 18:09,12.61,13.63,536.01,3.71
9/2/16 18:14,12.61,13.63,536.05,3.71
9/2/16 18:19,12.61,13.63,536.02,3.71
9/2/16 18:24,12.61,13.63,535.98,3.71
9/2/16 18:29,12.59,13.63,535.97,3.71
9/2/16 18:34,12.6,13.63,535.99,3.71
9/2/16 18:39,12.6,13.63,535.97,3.71
9/2/16 18:44,12.59,13.63,536.08,3.71
9/2/16 18:49,12.59,13.63,535.98,3.71
9/2/16 18:54,12.59,13.63,535.96,3.71
9/2/16 18:59,12.59,13.63,535.99,3.71
9/2/16 19:04,12.58,13.63,536.05,3.71
9/2/16 19:09,12.56,13.63,535.93,3.71
9/2/16 19:14,12.57,13.63,535.97,3.71
9/2/16 19:19,12.57,13.63,536.09,3.71
9/2/16 19:24,12.56,13.63,536,3.71
9/2/16 19:29,12.57,13.63,536.01,3.71
9/2/16 19:34,12.56,13.63,535.95,3.71
9/2/16 19:39,12.56,13.63,536.03,3.71
9/2/16 19:44,12.55,13.63,536,3.71
9/2/16 19:49,12.56,13.63,536.05,3.71
9/2/16 19:54,12.55,13.63,536.11,3.71
9/2/16 19:59,12.55,13.63,536.04,3.71
9/2/16 20:04,12.54,13.63,536.01,3.71
9/2/16 20:09,12.55,13.63,535.94,3.71
9/2/16 20:14,12.54,13.63,536.03,3.71
9/2/16 20:19,12.55,13.63,536.05,3.71
9/2/16 20:24,12.54,13.63,535.94,3.71
