Date_Time,Pressure_(kPa),Temperature,Conductivity,Unknown
8/31/16 16:08,14.46,14.23,581.88,3.71
8/31/16 16:13,14.47,14.23,581.95,3.71
8/31/16 16:18,14.46,14.23,581.92,3.71
8/31/16 16:23,14.47,14.22,581.95,3.71
8/31/16 16:28,14.45,14.22,581.95,3.71
8/31/16 16:33,14.46,14.23,582.04,3.71
8/31/16 16:38,14.47,14.23,581.99,3.71
8/31/16 16:43,14.46,14.23,582.08,3.71
8/31/16 16:48,14.47,14.23,582.07,3.71
8/31/16 16:53,14.46,14.23,582.17,3.71
8/31/16 16:58,14.46,14.23,582.14,3.71
8/31/16 17:03,14.47,14.22,582.07,3.71
8/31/16 17:08,14.46,14.23,582.11,3.71
8/31/16 17:13,14.46,14.23,582.12,3.71
8/31/16 17:18,14.46,14.23,582.13,3.71
8/31/16 17:23,14.47,14.23,582.05,3.71
8/31/16 17:28,14.47,14.23,581.99,3.71
8/31/16 17:33,14.47,14.23,581.99,3.71
8/31/16 17:38,14.47,14.23,581.81,3.71
8/31/16 17:43,14.47,14.22,581.7,3.71
8/31/16 17:48,14.47,14.22,581.74,3.71
8/31/16 17:53,14.48,14.22,581.71,3.71
8/31/16 17:58,14.48,14.23,581.7,3.71
8/31/16 18:03,14.48,14.23,581.84,3.71
8/31/16 18:08,14.48,14.23,581.78,3.71
8/31/16 18:13,14.48,14.23,581.83,3.71
8/31/16 18:18,14.47,14.23,581.78,3.71
8/31/16 18:23,14.47,14.23,581.74,3.71
8/31/16 18:28,14.46,14.23,581.73,3.71
8/31/16 18:33,14.47,14.22,581.77,3.71
8/31/16 18:38,14.47,14.23,581.78,3.71
8/31/16 18:43,14.48,14.22,581.72,3.71
8/31/16 18:48,14.47,14.22,581.59,3.71
8/31/16 18:53,14.47,14.22,581.67,3.71
8/31/16 18:58,14.49,14.23,581.58,3.71
8/31/16 19:03,14.47,14.23,581.58,3.71
8/31/16 19:08,14.48,14.23,581.63,3.71
8/31/16 19:13,14.48,14.23,581.59,3.71
8/31/16 19:18,14.48,14.23,581.51,3.71
8/31/16 19:23,14.46,14.23,581.63,3.71
8/31/16 19:28,14.49,14.23,581.52,3.71
8/31/16 19:33,14.49,14.23,581.62,3.71
8/31/16 19:38,14.48,14.23,581.69,3.71
8/31/16 19:43,14.48,14.23,581.63,3.71
8/31/16 19:48,14.47,14.23,581.66,3.71
8/31/16 19:53,14.47,14.23,581.67,3.71
8/31/16 19:58,14.48,14.23,581.64,3.71
8/31/16 20:03,14.47,14.23,581.73,3.71
8/31/16 20:08,14.48,14.23,581.71,3.71
8/31/16 20:13,14.46,14.23,581.77,3.71
8/31/16 20:18,14.48,14.23,581.75,3.71
8/31/16 20:23,14.48,14.23,581.73,3.71
8/31/16 20:28,14.49,14.23,581.77,3.71
8/31/16 20:33,14.47,14.23,581.73,3.71
8/31/16 20:38,14.48,14.23,581.75,3.71
8/31/16 20:43,14.48,14.23,581.77,3.71
8/31/16 20:48,14.48,14.23,581.78,3.71
8/31/16 20:53,14.47,14.23,581.9,3.71
8/31/16 20:58,14.47,14.23,581.78,3.71
8/31/16 21:03,14.47,14.23,581.76,3.71
8/31/16 21:08,14.47,14.23,581.86,3.71
8/31/16 21:13,14.47,14.23,581.91,3.71
8/31/16 21:18,14.47,14.23,582.04,3.71
8/31/16 21:23,14.47,14.23,582.04,3.71
8/31/16 21:28,14.47,14.23,581.99,3.71
8/31/16 21:33,14.47,14.23,582,3.71
8/31/16 21:38,14.47,14.23,581.89,3.71
8/31/16 21:43,14.46,14.23,581.76,3.71
8/31/16 21:48,14.46,14.23,581.58,3.71
8/31/16 21:53,14.46,14.22,581.62,3.71
8/31/16 21:58,14.46,14.23,581.63,3.71
8/31/16 22:03,14.47,14.23,581.75,3.71
8/31/16 22:08,14.46,14.23,581.74,3.71
8/31/16 22:13,14.46,14.23,581.75,3.71
8/31/16 22:18,14.47,14.23,581.79,3.71
8/31/16 22:23,14.46,14.23,581.83,3.71
8/31/16 22:28,14.46,14.23,581.84,3.71
8/31/16 22:33,14.46,14.23,581.83,3.71
8/31/16 22:38,14.46,14.23,581.8,3.71
8/31/16 22:43,14.46,14.23,581.78,3.71
8/31/16 22:48,14.47,14.23,581.77,3.71
8/31/16 22:53,14.47,14.23,581.74,3.71
8/31/16 22:58,14.47,14.23,581.79,3.71
8/31/16 23:03,14.45,14.23,581.75,3.71
8/31/16 23:08,14.47,14.23,581.69,3.71
8/31/16 23:13,14.46,14.23,581.72,3.71
8/31/16 23:18,14.46,14.23,581.61,3.71
