Date_Time,Pressure_(kPa),Temperature,Conducivity ,Unknown
8/31/16 16:08,3.71,15.62,542.27,3.24
8/31/16 16:13,3.71,15.62,542.61,3.23
8/31/16 16:18,3.71,15.62,542.65,3.23
8/31/16 16:23,3.71,15.61,542.69,3.24
8/31/16 16:28,3.71,15.61,542.53,3.23
8/31/16 16:33,3.71,15.61,542.34,3.23
8/31/16 16:38,3.71,15.61,541.84,3.23
8/31/16 16:43,3.71,15.61,541.34,3.23
8/31/16 16:48,3.71,15.61,540.79,3.23
8/31/16 16:53,0.078,15.61,540.52,3.23
8/31/16 16:58,3.71,15.62,540.62,3.22
8/31/16 17:03,3.71,15.62,541.48,3.23
8/31/16 17:08,3.71,15.62,541.5,3.22
8/31/16 17:13,3.71,15.62,541.32,3.23
8/31/16 17:18,3.71,15.62,541.42,3.22
8/31/16 17:23,3.71,15.61,541.46,3.24
8/31/16 17:28,3.71,15.62,541.64,3.23
8/31/16 17:33,3.71,15.62,541.38,3.24
8/31/16 17:38,3.71,15.62,541.02,3.24
8/31/16 17:43,3.71,15.62,541.11,3.23
8/31/16 17:48,3.71,15.62,541.42,3.23
8/31/16 17:53,3.71,15.61,542.08,3.23
8/31/16 17:58,3.71,15.61,542.46,3.24
8/31/16 18:03,3.71,15.61,542.4,3.23
8/31/16 18:08,3.71,15.61,541.93,3.22
8/31/16 18:13,3.71,15.61,541.67,3.23
8/31/16 18:18,3.71,15.61,541.54,3.22
8/31/16 18:23,3.71,15.61,541.6,3.22
8/31/16 18:28,3.71,15.61,541.66,3.22
8/31/16 18:33,3.71,15.61,541.88,3.22
8/31/16 18:38,3.71,15.61,541.66,3.24
8/31/16 18:43,3.71,15.61,541.42,3.24
8/31/16 18:48,3.71,15.61,540.85,3.23
8/31/16 18:53,3.71,15.62,540.22,3.23
8/31/16 18:58,3.71,15.62,540.42,3.23
8/31/16 19:03,3.71,15.62,540.5,3.23
8/31/16 19:08,3.71,15.62,540.56,3.22
8/31/16 19:13,3.71,15.62,540.4,3.24
8/31/16 19:18,3.71,15.63,540.72,3.26
8/31/16 19:23,3.71,15.63,541.5,3.25
8/31/16 19:28,3.71,15.63,542.4,3.23
8/31/16 19:33,3.71,15.63,543.02,3.23
8/31/16 19:38,3.71,15.63,543.35,3.23
8/31/16 19:43,3.71,15.62,543.53,3.24
8/31/16 19:48,3.71,15.62,543.7,3.23
8/31/16 19:53,3.71,15.62,543.52,3.23
8/31/16 19:58,0.077,15.62,543.38,3.23
8/31/16 20:03,3.71,15.62,543.19,3.23
8/31/16 20:08,3.71,15.62,543.09,3.22
8/31/16 20:13,3.71,15.62,542.86,3.22
8/31/16 20:18,3.71,15.62,542.68,3.23
8/31/16 20:23,3.71,15.62,542.47,3.22
8/31/16 20:28,3.71,15.62,542.44,3.23
8/31/16 20:33,3.71,15.62,542.22,3.24
8/31/16 20:38,3.71,15.62,542.32,3.24
8/31/16 20:43,3.71,15.62,542.2,3.23
8/31/16 20:48,3.71,15.62,542.14,3.24
8/31/16 20:53,3.71,15.62,541.9,3.23
8/31/16 20:58,3.71,15.62,541.72,3.23
8/31/16 21:03,3.71,15.62,541.89,3.26
8/31/16 21:08,3.71,15.62,541.79,3.25
8/31/16 21:13,3.71,15.62,541.85,3.24
8/31/16 21:18,3.71,15.62,541.83,3.25
8/31/16 21:23,3.71,15.62,541.97,3.25
8/31/16 21:28,3.71,15.62,542.28,3.26
8/31/16 21:33,3.71,15.62,542.62,3.25
8/31/16 21:38,3.71,15.62,542.66,3.24
8/31/16 21:43,3.71,15.62,542.69,3.24
8/31/16 21:48,3.71,15.62,542.57,3.24
8/31/16 21:53,3.71,15.62,542.04,3.25
8/31/16 21:58,3.71,15.62,541.69,3.24
8/31/16 22:03,3.71,15.62,541.44,3.25
8/31/16 22:08,3.71,15.62,541.4,3.24
8/31/16 22:13,3.71,15.62,541.22,3.24
8/31/16 22:18,3.71,15.62,541.28,3.23
8/31/16 22:23,3.71,15.63,541.27,3.23
8/31/16 22:28,3.71,15.62,541.25,3.25
8/31/16 22:33,3.71,15.63,541.36,3.23
8/31/16 22:38,3.71,15.62,541.68,3.23
8/31/16 22:43,3.71,15.63,542.09,3.23
8/31/16 22:48,3.71,15.62,542.67,3.27
8/31/16 22:53,3.71,15.62,542.91,3.26
8/31/16 22:58,3.71,15.62,542.88,3.24
8/31/16 23:03,0.078,15.62,542.67,3.23
8/31/16 23:08,3.71,15.62,542.51,3.23
8/31/16 23:13,3.71,15.62,542.25,3.25
8/31/16 23:18,3.71,15.62,541.95,3.25
8/31/16 23:23,3.71,15.62,541.86,3.24
8/31/16 23:28,3.71,15.62,541.7,3.23
8/31/16 23:33,3.71,15.62,541.25,3.25
8/31/16 23:38,3.71,15.62,541.12,3.25
8/31/16 23:43,3.71,15.63,541.15,3.25
8/31/16 23:48,3.71,15.62,541.43,3.26
8/31/16 23:53,3.71,15.63,541.68,3.23
8/31/16 23:58,3.71,15.63,542.16,3.24
9/1/16 0:03,3.71,15.63,542.25,3.25
9/1/16 0:08,3.71,15.63,542.64,3.24
9/1/16 0:13,3.71,15.63,542.6,3.23
9/1/16 0:18,3.71,15.62,542.26,3.24
9/1/16 0:23,3.71,15.62,541.69,3.24
9/1/16 0:28,3.71,15.62,541.31,3.24
9/1/16 0:33,3.71,15.63,541.11,3.23
9/1/16 0:38,3.71,15.63,541.02,3.23
9/1/16 0:43,3.71,15.63,541.19,3.25
9/1/16 0:48,3.71,15.63,541.69,3.23
9/1/16 0:53,3.71,15.63,541.89,3.23
9/1/16 0:58,3.71,15.63,541.96,3.25
9/1/16 1:03,3.71,15.63,541.61,3.23
9/1/16 1:08,3.71,15.63,541.47,3.24
9/1/16 1:13,3.71,15.63,541.52,3.23
9/1/16 1:18,3.71,15.63,541.77,3.23
9/1/16 1:23,3.71,15.63,542.01,3.23
9/1/16 1:28,3.71,15.63,542.02,3.23
9/1/16 1:33,3.71,15.63,541.68,3.23
9/1/16 1:38,3.71,15.63,541.67,3.24
9/1/16 1:43,3.71,15.63,541.43,3.23
9/1/16 1:48,3.71,15.63,541.78,3.24
9/1/16 1:53,3.71,15.63,542.16,3.25
9/1/16 1:58,0.08,15.63,542.68,3.24
9/1/16 2:03,3.71,15.63,543.06,3.23
9/1/16 2:08,3.71,15.63,542.92,3.23
9/1/16 2:13,3.71,15.63,542.84,3.24
9/1/16 2:18,3.71,15.63,542.77,3.23
9/1/16 2:23,3.71,15.63,542.66,3.23
9/1/16 2:28,3.71,15.63,542.47,3.23
9/1/16 2:33,3.71,15.63,542.18,3.23
9/1/16 2:38,3.71,15.64,541.8,3.23
9/1/16 2:43,3.71,15.64,542.04,3.23
9/1/16 2:48,0.078,15.64,542.41,3.23
9/1/16 2:53,3.71,15.63,542.58,3.23
9/1/16 2:58,3.71,15.64,542.69,3.23
9/1/16 3:03,3.71,15.63,542.66,3.23
9/1/16 3:08,3.71,15.63,542.67,3.24
9/1/16 3:13,3.71,15.64,542.64,3.23
9/1/16 3:18,3.71,15.63,542.57,3.23
9/1/16 3:23,3.71,15.63,542.63,3.23
9/1/16 3:28,3.71,15.63,542.36,3.22
9/1/16 3:33,3.71,15.63,542.65,3.22
9/1/16 3:38,3.71,15.63,542.46,3.22
9/1/16 3:43,3.71,15.63,542.06,3.22
9/1/16 3:48,3.71,15.64,541.89,3.22
9/1/16 3:53,3.71,15.64,542.15,3.22
9/1/16 3:58,3.71,15.64,542.74,3.22
9/1/16 4:03,3.71,15.63,542.71,3.22
9/1/16 4:08,3.71,15.64,542.46,3.23
9/1/16 4:13,3.71,15.64,542.21,3.23
9/1/16 4:18,3.71,15.64,542.25,3.24
9/1/16 4:23,3.71,15.64,542.05,3.23
9/1/16 4:28,3.71,15.64,541.93,3.23
9/1/16 4:33,3.71,15.64,542,3.23
9/1/16 4:38,3.71,15.64,542.55,3.22
9/1/16 4:43,3.71,15.64,542.64,3.24
9/1/16 4:48,3.71,15.64,542.59,3.23
9/1/16 4:53,3.71,15.64,542.66,3.24
9/1/16 4:58,3.71,15.64,542.49,3.23
9/1/16 5:03,3.71,15.64,541.8,3.23
9/1/16 5:08,3.71,15.64,541.66,3.22
9/1/16 5:13,3.71,15.64,541.66,3.23
9/1/16 5:18,3.71,15.64,541.41,3.23
9/1/16 5:23,3.71,15.64,541.7,3.23
9/1/16 5:28,3.71,15.64,542.56,3.22
9/1/16 5:33,3.71,15.64,542.63,3.22
9/1/16 5:38,3.71,15.64,542.22,3.24
9/1/16 5:43,3.71,15.64,542,3.23
9/1/16 5:48,3.71,15.64,541.59,3.22
9/1/16 5:53,0.078,15.64,541.48,3.22
9/1/16 5:58,3.71,15.64,541.68,3.23
9/1/16 6:03,3.71,15.64,541.33,3.22
9/1/16 6:08,3.71,15.64,541.39,3.24
9/1/16 6:13,3.71,15.64,541.22,3.23
9/1/16 6:18,3.71,15.64,541.31,3.23
9/1/16 6:23,3.71,15.64,541.41,3.24
9/1/16 6:28,3.71,15.64,541.26,3.24
9/1/16 6:33,3.71,15.64,541.4,3.23
9/1/16 6:38,3.71,15.64,541.71,3.22
