NAME,Latitude,Longitude,Northing,Easting,Height,
BEN002,39.105193,-96.603998,4331183.305,707178.9199,328.843,
MET_ST,39.105155,-96.604015,4331179.008,707177.543,328.887,
PORTAL,39.104914,-96.60406,4331152.214,707174.3557,331.267,
OW_7_TOP,39.104997,-96.603526,4331162.56,707220.2895,328.984,-0.704
OW_7_BOT,39.104995,-96.603525,4331162.421,707220.4276,328.28,
S2,39.105069,-96.603387,4331170.961,707232.102,325.452,
OW_8_TOP,39.105094,-96.603084,4331174.353,707258.2875,329.621,-0.798
OW_8_BOT,39.105091,-96.603082,4331174.099,707258.4727,328.823,
OW_5_TOP,39.105058,-96.6029,4331170.799,707274.2676,329.993,-0.756
OW_5_BOT,39.105058,-96.602906,4331170.782,707273.7785,329.237,
OW_3_TOP,39.105117,-96.602628,4331178.038,707297.6432,331.782,
OW_3_BOT,39.105116,-96.602627,4331177.869,707297.7082,331.035,
OW_2_TOP,39.104934,-96.602648,4331157.576,707296.4327,330.318,
OW_2_BOT,39.104933,-96.60265,4331157.553,707296.2562,329.592,
STAFF_GAUGE,39.104842,-96.602601,4331147.495,707300.7649,326.078,
S1,39.104761,-96.602339,4331139.143,707323.6667,325.877,
CAMERA,39.104756,-96.602781,4331137.53,707285.429,328.668,
OW_1_BOT,39.104725,-96.602959,4331133.679,707270.184,329.815,
OW_1_TOP,39.104725,-96.60296,4331133.726,707270.0691,330.573,
OW_6_TOP,39.104528,-96.603357,4331110.986,707236.2943,330.024,
OW_6_BOT,39.104526,-96.603358,4331110.756,707236.1849,329.197,
OW_4_TOP,39.104848,-96.603334,4331146.529,707237.3811,329.833,
OW_4_BOT,39.104847,-96.603332,4331146.412,707237.5624,329.038,
