Date,Streamflow(cfs),Precipitation(mm),
9/1/16,0,0,
9/2/16,0,0,
9/3/16,0,0,
9/4/16,0,0,
9/5/16,0,0,
9/6/16,0,0,
9/7/16,0,0.5,
9/8/16,0,0,
9/9/16,0,0,
9/10/16,0,0,
9/11/16,0,0,
9/12/16,0,0,
9/13/16,0,47.2,
9/14/16,0,12.7,
9/15/16,0,0,
9/16/16,0,5.6,
9/17/16,0,0,
9/18/16,0,0,
9/19/16,0,0,
9/20/16,0,0,
9/21/16,0,0,
9/22/16,0,0,
9/23/16,0,0,
9/24/16,0.94,72.4,
9/25/16,0,3.3,
9/26/16,0,0,
9/27/16,0,0,
9/28/16,0,0,
9/29/16,0,0,
9/30/16,0,0,
10/1/16,0,0,
10/2/16,0,0,
10/3/16,0,0,
10/4/16,0,23.4,
10/5/16,0,0,
10/6/16,0,9.4,
10/7/16,0,0,
10/8/16,0,0,
10/9/16,0,0,
10/10/16,0,13.5,
10/11/16,0,0,
10/12/16,0,0,
10/13/16,0,0,
10/14/16,0,0,
10/15/16,0,0,
10/16/16,0,0,
10/17/16,0,0,
10/18/16,0,0,
10/19/16,0,0,
10/20/16,0,3,
10/21/16,0,0,
10/22/16,0,0,
10/23/16,0,0,
10/24/16,0,0,
10/25/16,0,0,
10/26/16,0,13.2,
10/27/16,0,0,
10/28/16,0,0,
10/29/16,0,0,
10/30/16,0,0,
10/31/16,0,0,
11/1/16,0,0,
11/2/16,0,3.6,
11/3/16,0,0,
11/4/16,0,0,
11/5/16,0,0,
11/6/16,0,0,
11/7/16,0,1,
11/8/16,0,0,
11/9/16,0,0,
11/10/16,0,0,
11/11/16,0,0,
11/12/16,0,0,
11/13/16,0,0,
11/14/16,0,0,
11/15/16,0,0,
11/16/16,0,0,
11/17/16,0,0,
11/18/16,0,0,
11/19/16,0,0,
11/20/16,0,0,
11/21/16,0,0,
11/22/16,0,3.3,
11/23/16,0,0,
11/24/16,0,0,
11/25/16,0,0,
11/26/16,0,0,
11/27/16,0,1,
11/28/16,0,0,
11/29/16,0,0,
11/30/16,0,0,
12/1/16,0,0,
12/2/16,0,0,
12/3/16,0,6.4,
12/4/16,0,11.4,
12/5/16,0,0,
12/6/16,0,0,
12/7/16,0,0.3,
12/8/16,0,0,
12/9/16,0,0,
12/10/16,0,0,
12/11/16,0,0,
12/12/16,0,0,
12/13/16,0,0,
12/14/16,0,0,
12/15/16,0,0,
12/16/16,0,0.3,
12/17/16,0,2,
12/18/16,0,0,
12/19/16,0,0,
12/20/16,0,0,
12/21/16,0,0,
12/22/16,0,0,
12/23/16,0,0.5,
12/24/16,0,0,
12/25/16,0,4.1,
12/26/16,0,0,
12/27/16,0,0,
12/28/16,0,0,
12/29/16,0,0,
12/30/16,0,0,
12/31/16,0,0,
1/1/17,0,0,
1/2/17,0,2,
1/3/17,0,0,
1/4/17,0,0.5,
1/5/17,0,1.8,
1/6/17,0,0,
1/7/17,0,0,
1/8/17,0,0,
1/9/17,0,0,
1/10/17,0,0,
1/11/17,0,0,
1/12/17,0,0,
1/13/17,0,0,
1/14/17,0,0,
1/15/17,0,10.2,
1/16/17,0,17,
1/17/17,0,0,
1/18/17,0,0,
1/19/17,0,0.8,
1/20/17,0,0.3,
1/21/17,0,0.5,
1/22/17,0,0,
1/23/17,0,0,
1/24/17,0,0,
1/25/17,0,0,
1/26/17,0,0,
1/27/17,0,0,
1/28/17,0,0,
1/29/17,0,0,
1/30/17,0,0,
1/31/17,0,0,
2/1/17,0,0,
2/2/17,0,0,
2/3/17,0,0,
2/4/17,0,0,
2/5/17,0,0,
2/6/17,0,0,
2/7/17,0,0,
2/8/17,0,0,
2/9/17,0,0,
2/10/17,0,0,
2/11/17,0,0,
2/12/17,0,0,
2/13/17,0,0.5,
2/14/17,0,0,
2/15/17,0,0,
2/16/17,0,0,
2/17/17,0,0,
2/18/17,0,0,
2/19/17,0,0.5,
2/20/17,0,12.7,
2/21/17,0,0,
2/22/17,0,0,
2/23/17,0,0,
2/24/17,0,0.3,
2/25/17,0,0,
2/26/17,0,0,
2/27/17,0,0,
2/28/17,0,0.8,
3/1/17,0,0,
3/2/17,0,0,
3/3/17,0,0,
3/4/17,0,0,
3/5/17,0,1,
3/6/17,0,1.8,
3/7/17,0,0,
3/8/17,0,0,
3/9/17,0,0,
3/10/17,0,0,
3/11/17,0,1.8,
3/12/17,0,0,
3/13/17,0,0.3,
3/14/17,0,0,
3/15/17,0,0,
3/16/17,0,0,
3/17/17,0,0.3,
3/18/17,0,0,
3/19/17,0,0,
3/20/17,0,0,
3/21/17,0,0,
3/22/17,0,0,
3/23/17,0,1,
3/24/17,0,30.2,
3/25/17,0,4.6,
3/26/17,0,7.4,
3/27/17,0,3,
3/28/17,0,2,
3/29/17,78.9,58.4,
3/30/17,27.4,3.8,
3/31/17,16.5,0,
4/1/17,13.3,1,
4/2/17,12.6,2.5,
4/3/17,42.1,20.6,
4/4/17,42.6,0,
4/5/17,56.9,0,
4/6/17,21,0,
4/7/17,17,0,
4/8/17,14.2,0,
4/9/17,12.4,0,
4/10/17,10.3,0,
4/11/17,8.94,0,
4/12/17,8.08,0.8,
4/13/17,7.4,0,
4/14/17,7.05,4.1,
4/15/17,6.34,2.8,
4/16/17,5.85,5.8,
4/17/17,5.61,0,
4/18/17,4.81,0,
4/19/17,4.72,10.4,
4/20/17,4.33,5.6,
4/21/17,3.71,1.8,
4/22/17,3.7,0,
4/23/17,3.36,0,
4/24/17,3.37,0,
4/25/17,3.24,0,
4/26/17,2.87,0,
4/27/17,2.71,2.3,
4/28/17,2.73,5.6,
4/29/17,2.96,13,
4/30/17,4.76,18.3,
5/1/17,5.87,1,
5/2/17,4.8,0,
5/3/17,4.64,1.8,
5/4/17,4.16,0,
5/5/17,3.85,0,
5/6/17,3.58,0,
5/7/17,3.29,0,
5/8/17,2.99,0,
5/9/17,2.8,0,
5/10/17,2.63,0.3,
5/11/17,2.75,6.1,
5/12/17,2.34,0,
5/13/17,2.18,0,
5/14/17,1.99,0,
5/15/17,1.76,0,
5/16/17,1.59,0,
5/17/17,1.45,0.3,
5/18/17,1.63,15.7,
5/19/17,3.22,22.4,
5/20/17,2.34,0.3,
5/21/17,1.93,0,
5/22/17,1.98,8.4,
5/23/17,1.82,1,
5/24/17,1.67,0,
5/25/17,1.55,1.3,
5/26/17,1.5,5.3,
5/27/17,1.92,10.7,
5/28/17,1.38,0,
5/29/17,1.2,0,
5/30/17,1.08,0,
5/31/17,1.21,10.4,
6/1/17,1.1,1.5,
6/2/17,0.98,0,
6/3/17,0.91,3.6,
6/4/17,0.87,0,
6/5/17,0.79,0,
6/6/17,0.67,0,
6/7/17,0.59,0,
6/8/17,0.54,0,
6/9/17,0.49,0,
6/10/17,0.47,0,
6/11/17,0.43,0,
6/12/17,0.39,0,
6/13/17,0.36,0,
6/14/17,0.31,0.3,
6/15/17,0.26,0.5,
6/16/17,0.24,0,
6/17/17,0.2,0.3,
6/18/17,0.15,2.5,
6/19/17,0.18,0,
6/20/17,0.19,0.8,
6/21/17,0.22,0,
6/22/17,0.22,0,
6/23/17,0.17,0.3,
6/24/17,0.1,0.3,
6/25/17,0.07,2.3,
6/26/17,0.05,1.3,
6/27/17,0.03,0,
6/28/17,0.01,0.3,
6/29/17,0.06,51.6,
6/30/17,0.02,11.2,
7/1/17,0,0,
7/2/17,0,0,
7/3/17,0,0,
7/4/17,0,0,
7/5/17,0,0,
7/6/17,0,0,
7/7/17,0,0,
7/8/17,0,0,
7/9/17,0,0,
7/10/17,0,0,
7/11/17,0,0,
7/12/17,0,0,
7/13/17,0,0.8,
7/14/17,0,0,
7/15/17,0,0,
7/16/17,0,0,
7/17/17,0,0,
7/18/17,0,0,
7/19/17,0,0,
7/20/17,0,0,
7/21/17,0,0,
7/22/17,0,8.1,
7/23/17,0,0.3,
7/24/17,0,0,
7/25/17,0,0,
7/26/17,0,22.6,
7/27/17,0,0.3,
7/28/17,0,0,
7/29/17,0,0,
7/30/17,0,0,
7/31/17,0,1.8,
8/1/17,0,0,
8/2/17,0,10.9,
8/3/17,0,16.8,
8/4/17,0,0,
8/5/17,0.35,84.1,
8/6/17,0,0,
8/7/17,0,0,
8/8/17,0,0.3,
8/9/17,0,2.3,
8/10/17,0,0,
8/11/17,0,14.2,
8/12/17,0,0,
8/13/17,0,0,
8/14/17,0,0,
8/15/17,0,0,
8/16/17,0,10.2,
8/17/17,0,0,
8/18/17,0,0,
8/19/17,0,0,
8/20/17,0,2.5,
8/21/17,0,5.3,
8/22/17,0,2.5,
8/23/17,0,0,
8/24/17,0,0,
8/25/17,0,0,
8/26/17,0,0,
8/27/17,0,9.9,
8/28/17,0,0,
8/29/17,0,0,
8/30/17,0,0,
8/31/17,0,0,
9/1/17,0,0,
9/2/17,0,0,
9/3/17,0,0,
9/4/17,0,0,
9/5/17,0,0,
9/6/17,0,0,
9/7/17,0,0,
9/8/17,0,0,
9/9/17,0,0,
9/10/17,0,0,
9/11/17,0,0,
9/12/17,0,0,
9/13/17,0,0,
9/14/17,0,1,
9/15/17,0,0,
9/16/17,0,0,
9/17/17,0,0,
9/18/17,0,7.6,
9/19/17,0,0,
9/20/17,0,0,
9/21/17,0,0,
9/22/17,0,0,
9/23/17,0,0,
9/24/17,0,0,
9/25/17,0,8.6,
9/26/17,0,0.5,
9/27/17,0,0,
9/28/17,0,0,
9/29/17,0,0,
9/30/17,0,0,
10/1/17,0,0,
10/2/17,0,0,
10/3/17,0,2.5,
10/4/17,0,9.4,
10/5/17,0,0.8,
10/6/17,0,28.4,
10/7/17,0,5.1,
10/8/17,0,0,
10/9/17,0,0,
10/10/17,0,1.5,
10/11/17,0,0,
10/12/17,0,0,
10/13/17,0,0,
10/14/17,0,35.6,
10/15/17,0,0,
10/16/17,0,0,
10/17/17,0,0,
10/18/17,0,0,
10/19/17,0,0,
10/20/17,0,0,
10/21/17,0,0.3,
10/22/17,0,0,
10/23/17,0,0,
10/24/17,0,0,
10/25/17,0,0,
10/26/17,0,0,
10/27/17,0,0,
10/28/17,0,0,
10/29/17,0,0,
10/30/17,0,0,
10/31/17,0,1,
11/1/17,0,0,
11/2/17,0,0,
11/3/17,0,0,
11/4/17,0,0,
11/5/17,0,0,
11/6/17,0,0,
11/7/17,0,0,
11/8/17,0,0,
11/9/17,0,0,
11/10/17,0,0,
11/11/17,0,3,
11/12/17,0,0,
11/13/17,0,0,
11/14/17,0,0,
11/15/17,0,0.3,
11/16/17,0,0,
11/17/17,0,0,
11/18/17,0,0.3,
11/19/17,0,0,
11/20/17,0,0,
11/21/17,0,0,
11/22/17,0,0,
11/23/17,0,0,
11/24/17,0,0,
11/25/17,0,0,
11/26/17,0,0,
11/27/17,0,0,
11/28/17,0,0,
11/29/17,0,0,
11/30/17,0,0,
12/1/17,0,0,
12/2/17,0,0,
12/3/17,0,0,
12/4/17,0,0,
12/5/17,0,0,
12/6/17,0,0,
12/7/17,0,0,
12/8/17,0,0,
12/9/17,0,0,
12/10/17,0,0,
12/11/17,0,0,
12/12/17,0,0,
12/13/17,0,0.3,
12/14/17,0,0,
12/15/17,0,0,
12/16/17,0,0,
12/17/17,0,2,
12/18/17,0,0,
12/19/17,0,0,
12/20/17,0,0,
12/21/17,0,0,
12/22/17,0,0,
12/23/17,0,0,
12/24/17,0,2,
12/25/17,0,0,
12/26/17,0,0.5,
12/27/17,0,0,
12/28/17,0,0,
12/29/17,0,0,
12/30/17,0,0,
12/31/17,0,0,
1/1/18,0,0,
1/2/18,0,0,
1/3/18,0,0,
1/4/18,0,0,
1/5/18,0,0,
1/6/18,0,0,
1/7/18,0,0,
1/8/18,0,0,
1/9/18,0,0,
1/10/18,0,0,
1/11/18,0,10.4,
1/12/18,0,0,
1/13/18,0,0,
1/14/18,0,1.8,
1/15/18,0,0.5,
1/16/18,0,0,
1/17/18,0,0,
1/18/18,0,0,
1/19/18,0,0,
1/20/18,0,0,
1/21/18,0,0,
1/22/18,0,3.6,
1/23/18,0,0,
1/24/18,0,0,
1/25/18,0,0,
1/26/18,0,0,
1/27/18,0,0,
1/28/18,0,0,
1/29/18,0,0,
1/30/18,0,0,
1/31/18,0,0,
2/1/18,0,0,
2/2/18,0,0,
2/3/18,0,0,
2/4/18,0,2.3,
2/5/18,0,0,
2/6/18,0,0,
2/7/18,0,0,
2/8/18,0,0,
2/9/18,0,0,
2/10/18,0,0,
2/11/18,0,0,
2/12/18,0,0,
2/13/18,0,0,
2/14/18,0,0,
2/15/18,0,0,
2/16/18,0,0,
2/17/18,0,0,
2/18/18,0,0,
2/19/18,0,0,
2/20/18,0,5.6,
2/21/18,0,0.3,
2/22/18,0,5.6,
2/23/18,0,1.8,
2/24/18,0,1.5,
2/25/18,0,0,
2/26/18,0,0,
2/27/18,0,0,
2/28/18,0,0,
3/1/18,0,0,
3/2/18,0,0,
3/3/18,0,0,
3/4/18,0,0,
3/5/18,0,0.5,
3/6/18,0,1,
3/7/18,0,0,
3/8/18,0,0,
3/9/18,0,0,
3/10/18,0,0,
3/11/18,0,0,
3/12/18,0,0,
3/13/18,0,0,
3/14/18,0,0,
3/15/18,0,0,
3/16/18,0,0.5,
3/17/18,0,0,
3/18/18,0,1.8,
3/19/18,0,6.9,
3/20/18,0,0,
3/21/18,0,0,
3/22/18,0,0,
3/23/18,0,0,
3/24/18,0,0,
3/25/18,0,0,
3/26/18,0,6.4,
3/27/18,0,0,
3/28/18,0,0,
3/29/18,0,0,
3/30/18,0,0,
3/31/18,0,0,
4/1/18,0,0.3,
4/2/18,0,0.3,
4/3/18,0,1.5,
4/4/18,0,0,
4/5/18,0,0,
4/6/18,0,0,
4/7/18,0,0,
4/8/18,0,0.8,
4/9/18,0,0,
4/10/18,0,0,
4/11/18,0,0,
4/12/18,0,0,
4/13/18,0,0,
4/14/18,0,1.5,
4/15/18,0,0,
4/16/18,0,0,
4/17/18,0,0,
4/18/18,0,0.3,
