Month,Well,Bank,DTW,Temperature,Conductivity,DO (ppm),pH,Alkalinity ,Cl,SO4,NO3,Ca,K,NH4,Mg,Na,Aragonite,  Calcite,   CO2, Dolomite
Nov '17,Well1,Ag,538,16.6,598,2.82,,389.2,1.956,34.032,0.727,109.06,1.49,,21.26,5.53,-0.0673,0.0827,-1.3968,-0.3113
Nov '17,Well2,Pr,496,14.4,663,2.909,6.95,323.7,1.849,34.884,0.661,114.77,1.33,,20.99,5.39,-0.2025,-0.0509,-1.4385,-0.6419
Nov '17,Well3,Pr,647,14,667,3.556,6.92,347.3,1.869,34.172,0.559,115.19,1.33,,22.05,6.13,-0.2102,-0.0582,-1.3806,-0.6435
Nov '17,Well4,Ag,488,16.1,666,2.258,7.1,335.9,1.952,34.154,0.71,104.34,1.41,,21.18,5.84,-0.0497,0.1007,-1.5624,-0.2656
Nov '17,Well5,Pr,475,14.4,671,3.721,6.92,355.9,1.851,33.834,0.506,125.66,1.81,,24.56,6.08,-0.1626,-0.0109,-1.3701,-0.533
Nov '17,Well6,Ag,497,15.5,681,2.515,6.84,353.3,2.197,38.555,1.103,117.86,1.36,,22.49,7.37,-0.2535,-0.1027,-1.2857,-0.709
Nov '17,Well7,Ag,421,15.8,657,2.65,7.08,329.3,1.969,34.083,0.647,110.54,1.31,,20.82,5.8,-0.0592,0.0914,-1.5534,-0.3214
Nov '17,Well8,Pr,453,14.7,676,4.523,6.88,361.2,2.11,34.068,0.427,113.08,1.06,,22.19,5.46,-0.231,-0.0796,-1.3197,-0.6638
Dec '17,Well1,Ag,561,16.1,669,2.926,7.1,362.4,1.979,34.619,0.851,115.71,1.71,,21.31,6.28,0.0196,0.1699,-1.5316,-0.1693
Dec '17,Well2,Pr,517,14.5,662,3.261,6.97,338.02,1.944,35.381,0.691,105.12,1.21,,20.9,5.28,-0.1982,-0.0466,-1.438,-0.5956
Dec '17,Well3,Pr,666,14.2,671,3.362,6.91,339.15,1.887,34.636,0.612,118.74,1.47,0.3036,21.06,6.19,-0.2143,-0.0624,-1.3801,-0.6817
Dec '17,Well4,Ag,508,16,664,2.728,7.08,336.67,2.016,34.734,0.878,120.65,1.67,,21.72,6.59,-0.0149,0.1356,-1.5446,-0.2494
Dec '17,Well5,Pr,494,14.5,656,3.143,6.87,338.98,1.948,34.458,0.628,106.4,1.18,,22.24,5.62,-0.2927,-0.1411,-1.3371,-0.7628
Dec '17,Well6,Ag,519,15.4,673,2.87,6.85,333.19,2.153,38.018,1.081,111.75,1.16,,21.36,6.5,-0.2875,-0.1365,-1.3203,-0.7777
Dec '17,Well7,Ag,440,14.1,654,2.699,7.1,336.66,2.08,35.021,0.817,111.5,1.31,,20.74,5.85,-0.0536,0.0983,-1.5732,-0.3412
Dec '17,Well8,Pr,470,14.6,669,4.113,6.84,339.52,2.14,35.209,0.454,108.71,1.06,,22.62,5.73,-0.3126,-0.1611,-1.3062,-0.8031
Jan '18,Well1,Ag,580.5,,,,,379,1.947,34.511,0.579,112.99,1.39,,21.55,5.52,0.0586,0.2024,-1.3599,0.0352
Jan '18,Well2,Pr,536,,,,,314.6,1.928,35.252,0.489,114.86,1.29,,21.43,5.43,-0.0073,0.1365,-1.4403,-0.1066
Jan '18,Well3,Pr,685.5,,,,,342,1.949,34.238,0.49,116.04,1.22,,22.19,5.57,0.0289,0.1727,-1.4047,-0.0232
Jan '18,Well4,Ag,525.5,,,,,346.5,2.057,34.445,0.714,110.31,1.42,,21.3,5.82,0.0149,0.1587,-1.398,-0.0471
Jan '18,Well5,Pr,512.5,,,,,337.7,1.923,33.931,0.458,129.2,1.41,,23.28,6.14,0.0643,0.2081,-1.4125,0.0219
Jan '18,Well6,Ag,539,,,,,346.7,2.151,36.63,0.813,109.52,1.21,,21.05,6.47,0.0117,0.1554,-1.3976,-0.0558
Jan '18,Well7,Ag,456.5,,,,,331.1,2.253,34.526,0.732,105.43,1.27,,20.34,5.71,-0.0195,0.1243,-1.4165,-0.1166
Jan '18,Well8,Pr,486.5,,,,,343.7,2.083,34.946,0.289,111.16,1.07,,21.33,5.58,0.0147,0.1585,-1.4016,-0.0502
Feb '18,Well1,Ag,593,14.1,688,3.609,6.6,325,2.369,35.712,0.949,112.84,1.28,,20.88,5.23,-0.5615,-0.4096,-1.0875,-1.3595
Feb '18,Well2,Pr,550,13.9,667,3.392,6.95,326.2,2.119,36.75,0.748,108.18,1.5,,21.09,5.78,-0.2309,-0.0789,-1.437,-0.6787
Feb '18,Well3,Pr,698,13.7,662,3.974,6.79,329.4,2.08,35.853,0.751,107.33,1.12,,21.69,5.42,-0.3928,-0.2406,-1.2735,-0.9899
Feb '18,Well4,Ag,537,14.8,670,3.268,6.58,341.4,2.154,35.83,0.982,107.96,1.5,1.04,20.96,6.91,-0.5692,-0.4178,-1.042,-1.3435
Feb '18,Well5,Pr,523,13.7,657,3.255,6.79,341.3,2.082,35.616,0.706,116.76,1.38,,22.77,6.11,-0.3471,-0.1948,-1.2599,-0.9139
Feb '18,Well6,Ag,553,14.2,656,3.273,6.71,327.8,2.272,36.99,1.057,106.4,1.12,,20.71,6.08,-0.4701,-0.3182,-1.1925,-1.1532
Feb '18,Well7,Ag,465.5,13.8,654,3.844,6.3,337.8,2.099,36.183,0.993,111.3,1.27,,20.47,6,-0.8559,-0.7038,-0.7719,-1.9557
Feb '18,Well8,Pr,498,13.8,662,3.674,6.74,345.5,2.191,36.812,0.481,108.02,1.02,,21.7,5.66,-0.4202,-0.2681,-1.2025,-1.046
Mar '18,Well1,Ag,604,14.6,673,2.634,6.69,340.3,2.1,36.805,0.938,122.52,1.22,,22.92,5.46,-0.416,-0.2644,-1.1571,-1.0559
Mar '18,Well2,Pr,561,15.1,663,2.851,6.98,344.4,2.192,36.984,0.785,117.03,1.48,,21.79,6.07,-0.1316,0.0196,-1.4388,-0.4816
Mar '18,Well3,Pr,711,14.7,676,3.104,7.03,335.9,2.193,36.542,1.039,112.35,1.09,,21.76,5.49,-0.1132,0.0382,-1.5011,-0.4338
Mar '18,Well4,Ag,548,14.8,677,2.443,6.64,340.3,2.176,36.508,0.99,108.31,1.41,,21.22,5.94,-0.5093,-0.3579,-1.1035,-1.2197
