,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8,
Date_Time,,,,,,,,,
,,,,,,,,,
1,9/1/16,325.5853,325.489,325.9873,325.3268,325.5774,325.5661,324.977,325.3946
2,9/2/16,325.5794,325.4932,325.9855,325.3229,325.5724,325.5632,324.9721,325.391
3,9/3/16,325.5769,325.4888,325.9815,325.3199,325.5684,325.5575,324.9734,325.3889
4,9/4/16,325.5759,325.4832,325.9775,325.3189,325.5664,325.5549,324.9723,325.3848
5,9/5/16,325.5725,325.4741,325.9743,325.3173,325.5625,325.5489,324.9705,325.3821
6,9/6/16,325.5682,325.4678,325.9715,325.3157,325.5579,325.5455,324.9677,325.3797
7,9/7/16,325.5683,325.468,325.9706,325.3139,325.5567,325.5404,324.9654,325.3792
8,9/8/16,325.5695,325.467,325.9699,325.3102,325.5585,325.5391,324.96,325.3793
9,9/9/16,325.5667,325.465,325.97,325.3117,325.5576,325.537,324.96,325.3793
10,9/10/16,325.5637,325.4531,325.9651,325.3082,325.5523,325.5325,324.9581,325.373
11,9/11/16,325.559,325.4544,325.9638,325.3067,325.5444,325.5216,324.9569,325.3715
12,9/12/16,325.5567,325.4467,325.959,325.3041,325.5306,325.505,324.9547,325.3657
13,9/13/16,325.5672,325.4663,325.9693,325.313,325.5484,325.5147,324.9591,325.3764
14,9/14/16,325.573,325.47,325.9766,325.32,325.5662,325.5391,324.9617,325.3855
15,9/15/16,325.5684,325.4618,325.9742,325.3174,325.5661,325.5371,324.96,325.3839
16,9/16/16,325.57,325.4688,325.9701,325.318,325.5599,325.5301,324.9603,325.3802
17,9/17/16,325.5663,325.47,325.9673,325.3159,325.558,325.5273,324.9578,325.3766
18,9/18/16,325.558,NA,325.962,325.3074,325.5545,325.5175,324.95,325.3731
19,9/19/16,325.5561,NA,325.957,325.3043,325.5481,325.5118,324.9475,325.3695
20,9/20/16,325.5507,NA,325.9528,325.2982,325.5455,325.5072,324.9405,325.3655
21,9/21/16,325.5482,NA,325.9501,325.297,325.5436,325.5032,324.9383,325.3635
22,9/22/16,325.5465,NA,325.947,325.2951,325.542,325.4971,324.9364,325.3621
23,9/23/16,325.5414,NA,325.9446,325.2883,325.5367,325.4916,324.9286,325.3598
24,9/24/16,325.5858,325.4907,325.9785,325.339,325.566,325.5729,324.9685,325.3878
25,9/25/16,325.5932,325.51,326.0022,325.34,325.5933,325.6009,324.9443,325.3999
26,9/26/16,325.5766,325.5035,325.9918,325.3238,325.5792,325.5694,324.9375,325.387
27,9/27/16,325.5682,325.5006,325.9862,325.3169,325.5766,325.5565,324.936,325.3854
28,9/28/16,325.5649,325.4875,325.9766,325.3102,325.5678,325.5458,324.9355,325.3773
29,9/29/16,325.5597,325.4783,325.97,325.31,325.5655,325.5364,324.9382,325.377
30,9/30/16,325.5569,325.4762,325.9684,325.3089,325.5652,325.53,324.9369,325.3766
31,10/1/16,325.5551,325.4754,325.9673,325.3068,325.5607,325.5269,324.9345,325.3755
32,10/2/16,325.55,325.468,325.966,325.3041,325.5584,325.5208,324.93,325.3744
33,10/3/16,325.55,325.4675,325.9643,325.3002,325.5578,325.518,324.9304,325.373
34,10/4/16,325.5501,325.4748,325.9669,325.3005,325.5596,325.52,324.9337,325.3755
35,10/5/16,325.5641,NA,325.9701,325.3106,325.567,325.5359,324.9348,325.3782
36,10/6/16,325.56,NA,325.9701,325.3094,325.5667,325.5285,324.9334,325.379
37,10/7/16,325.5599,NA,325.97,325.3098,325.5676,325.5264,324.9366,325.379
38,10/8/16,325.5565,NA,325.9676,325.3073,325.566,325.5199,324.8929,325.3714
39,10/9/16,325.5539,NA,325.9673,325.3053,325.5617,325.5181,324.9243,325.3606
40,10/10/16,325.5564,NA,325.9709,325.3098,325.5681,325.5205,324.9422,325.3804
41,10/11/16,325.557,NA,325.97,325.3085,325.5679,325.5235,324.94,325.3772
42,10/12/16,325.5574,NA,325.97,325.3098,325.5662,325.5199,324.94,325.379
43,10/13/16,325.5572,NA,325.97,325.3099,325.5686,325.52,324.94,325.379
44,10/14/16,325.5598,NA,325.9708,325.31,325.5634,325.52,324.94,325.379
45,10/15/16,325.56,NA,325.9774,325.31,325.5569,325.515,324.9411,325.3847
46,10/16/16,325.5598,NA,325.9763,325.3099,325.5701,325.52,324.94,325.3833
47,10/17/16,325.56,NA,325.9765,325.31,325.559,325.521,324.94,325.3827
48,10/18/16,325.5596,325.48,325.975,325.3089,325.57,325.5167,324.9399,325.379
49,10/19/16,325.5598,325.476,325.9768,325.3099,325.57,325.5171,324.94,325.3816
50,10/20/16,325.5599,325.478,325.9787,325.3098,325.57,325.5135,324.94,325.3818
51,10/21/16,325.5599,325.4822,325.98,325.3099,325.5736,325.5192,324.94,325.3856
52,10/22/16,325.5598,325.4851,325.98,325.3098,325.575,325.5181,324.94,325.3863
53,10/23/16,325.5597,325.4798,325.9796,325.308,325.573,325.5162,324.9377,325.3851
54,10/24/16,325.5595,325.4793,325.98,325.3066,325.57,325.51,324.93,325.3832
55,10/25/16,325.56,325.4846,325.9816,325.3099,325.5747,325.5121,324.9363,325.3853
56,10/26/16,325.5613,325.4856,325.9856,325.3107,325.5776,325.5188,324.9418,325.3884
57,10/27/16,325.56,325.4873,325.9886,325.3022,325.5794,325.518,324.9414,325.389
58,10/28/16,325.56,325.4909,325.99,325.3022,325.5734,325.52,324.94,325.389
59,10/29/16,325.56,325.4889,325.9895,325.3099,325.5725,325.5192,324.9375,325.3874
60,10/30/16,325.56,325.4884,325.99,325.2943,325.5712,325.5149,324.93,325.3887
61,10/31/16,325.56,325.4973,325.99,325.2944,325.58,325.515,324.9365,325.389
62,11/1/16,325.56,325.4906,325.99,325.31,325.58,325.519,324.9397,325.389
63,11/2/16,325.56,325.4901,325.99,325.31,325.5801,325.5177,324.9338,325.389
64,11/3/16,325.56,325.4885,325.9882,325.3084,325.58,325.5103,324.93,325.387
65,11/4/16,325.5599,325.489,325.9867,325.3073,325.58,325.51,324.93,325.3869
66,11/5/16,325.56,325.4899,325.9858,325.3082,325.58,325.51,324.93,325.3877
67,11/6/16,325.56,325.49,325.9861,325.3098,325.58,325.51,324.93,325.3889
68,11/7/16,325.56,325.49,325.9877,325.31,325.58,325.51,324.93,325.389
69,11/8/16,325.56,325.4874,325.981,325.3086,325.58,325.51,324.93,325.3873
70,11/9/16,325.5599,325.4886,325.9818,325.3087,325.58,325.51,324.93,325.3884
71,11/10/16,325.56,325.49,325.9888,325.308,325.58,325.51,324.93,325.389
72,11/11/16,325.5599,325.4851,325.9802,325.3039,325.5734,325.51,324.93,325.3848
73,11/12/16,325.5598,325.4873,325.983,325.3011,325.5734,325.51,324.93,325.387
74,11/13/16,325.56,325.49,325.99,325.3072,325.5803,325.51,324.93,325.389
75,11/14/16,325.5599,325.49,325.99,325.3071,325.58,325.51,324.93,325.389
76,11/15/16,325.5596,325.49,325.99,325.3056,325.58,325.51,324.93,325.389
77,11/16/16,325.5599,325.4927,325.99,325.3047,325.5818,325.51,324.93,325.389
78,11/17/16,325.56,325.4956,325.99,325.3099,325.5855,325.5101,324.9348,325.389
79,11/18/16,325.56,325.4844,325.984,325.3087,325.58,325.5099,324.9391,325.3865
80,11/19/16,325.5593,325.4849,325.9812,325.3055,325.58,325.5061,324.9267,325.3756
81,11/20/16,325.5595,325.49,325.99,325.3077,325.5821,325.5096,324.9303,325.376
82,11/21/16,325.5598,325.4901,325.99,325.3057,325.5807,325.5091,324.9368,325.3733
83,11/22/16,325.5598,325.4914,325.99,325.3089,325.5835,325.51,324.9273,325.389
84,11/23/16,325.5597,325.4834,325.9813,325.3019,325.58,325.5028,324.9244,325.3819
85,11/24/16,325.5571,325.4844,325.9803,325.3,325.58,325.5001,324.9261,325.3884
86,11/25/16,325.5509,325.4801,325.98,325.3,325.5734,325.5,324.93,325.37
87,11/26/16,325.5502,325.4829,325.98,325.3,325.58,325.5,324.93,325.3833
88,11/27/16,325.5522,325.4911,325.985,325.3,325.5825,325.5012,324.93,325.389
89,11/28/16,325.5585,325.4902,325.9899,325.3001,325.5816,325.5044,324.93,325.389
90,11/29/16,325.555,325.4843,325.9824,325.3,325.58,325.5,324.9354,325.3871
91,11/30/16,325.55,325.48,325.98,325.3,325.58,325.4999,324.94,325.3792
92,12/1/16,325.5499,325.4785,325.98,325.2999,325.5786,325.4925,324.9358,325.379
93,12/2/16,325.5494,325.471,325.9796,325.2985,325.5728,325.49,324.9305,325.379
94,12/3/16,325.5494,325.4718,325.9774,325.295,325.5596,325.49,324.93,325.379
95,12/4/16,325.5499,325.4743,325.9781,325.2999,325.5777,325.49,324.9383,325.3807
96,12/5/16,325.5497,325.4781,325.9791,325.2998,325.5718,325.49,324.9384,325.379
97,12/6/16,325.548,325.4702,325.9715,325.2983,325.5712,325.4892,324.9399,325.379
98,12/7/16,325.5412,325.4656,325.97,325.2918,325.57,325.4819,324.9377,325.379
99,12/8/16,325.54,325.46,325.97,325.29,325.57,325.48,324.93,325.3782
100,12/9/16,325.54,325.4617,325.97,325.29,325.57,325.48,324.93,325.379
101,12/10/16,325.54,325.4646,325.97,325.29,325.57,325.48,324.9311,325.379
102,12/11/16,325.54,325.4667,325.97,325.29,325.5701,325.48,324.94,325.379
103,12/12/16,325.5399,325.4607,325.9695,325.29,325.5687,325.4777,324.9301,325.3755
104,12/13/16,325.5389,325.4576,325.9636,325.2897,325.5636,325.4718,324.93,325.3705
105,12/14/16,325.5336,325.4559,325.9623,325.2854,325.5618,325.47,324.93,325.369
106,12/15/16,325.53,325.454,325.9605,325.2804,325.5615,325.47,324.93,325.3696
107,12/16/16,325.5328,325.4615,325.9672,325.2886,325.57,325.47,324.93,325.3781
108,12/17/16,325.5313,325.4524,325.9603,325.2834,325.5613,325.468,324.9269,325.3704
109,12/18/16,325.5176,325.4436,325.96,325.28,325.5594,325.46,324.92,325.369
110,12/19/16,325.5285,325.4472,325.9599,325.2799,325.56,325.46,324.92,325.369
111,12/20/16,325.5285,325.4491,325.96,325.2799,325.5599,325.4598,324.92,325.369
112,12/21/16,325.5281,325.4471,325.9593,325.2799,325.56,325.4599,324.92,325.369
113,12/22/16,325.5214,325.4406,325.9507,325.2728,325.5545,325.4513,324.9166,325.369
114,12/23/16,325.5225,325.4478,325.9576,325.2735,325.56,325.4556,324.92,325.369
115,12/24/16,325.5215,325.44,325.9504,325.2704,325.5541,325.4511,324.9129,325.3689
116,12/25/16,325.5214,325.444,325.9524,325.2715,325.5572,325.4518,324.9117,325.369
117,12/26/16,325.5203,325.4349,325.95,325.2708,325.551,325.4507,324.914,325.3621
Showing 1 to 13 of 879 entries,,,,,,,,,
