RecDate,watershed,ppt
1/2/1996,002C,.
1/2/1996,004B,.
1/2/1996,020B,.
1/2/1996,HQ,0.50
1/2/1996,HQ02,1.40
1/2/1996,K01B,.
1/2/1996,N01B,.
1/2/1996,N02B,.
1/2/1996,N4DF,.
1/2/1996,N4DU,.
1/2/1996,R01A,.
1/3/1996,002C,.
1/3/1996,004B,.
1/3/1996,020B,.
1/3/1996,HQ,1.20
1/3/1996,HQ02,1.20
1/3/1996,K01B,.
1/3/1996,N01B,.
1/3/1996,N02B,.
1/3/1996,N4DF,.
1/3/1996,N4DU,.
1/3/1996,R01A,.
1/5/1996,002C,.
1/5/1996,004B,.
1/5/1996,020B,.
1/5/1996,HQ,1.80
1/5/1996,HQ02,3.60
1/5/1996,K01B,.
1/5/1996,N01B,.
1/5/1996,N02B,.
1/5/1996,N4DF,.
1/5/1996,N4DU,.
1/5/1996,R01A,.
1/17/1996,002C,.
1/17/1996,004B,.
1/17/1996,020B,.
1/17/1996,HQ,1.40
1/17/1996,HQ02,1.10
1/17/1996,K01B,.
1/17/1996,N01B,.
1/17/1996,N02B,.
1/17/1996,N4DF,.
1/17/1996,N4DU,.
1/17/1996,R01A,.
1/18/1996,002C,.
1/18/1996,004B,.
1/18/1996,020B,.
1/18/1996,HQ,0.20
1/18/1996,HQ02,0.20
1/18/1996,K01B,.
1/18/1996,N01B,.
1/18/1996,N02B,.
1/18/1996,N4DF,.
1/18/1996,N4DU,.
1/18/1996,R01A,.
1/23/1996,002C,.
1/23/1996,004B,.
1/23/1996,020B,.
1/23/1996,HQ,0.30
1/23/1996,HQ02,0.10
1/23/1996,K01B,.
1/23/1996,N01B,.
1/23/1996,N02B,.
1/23/1996,N4DF,.
1/23/1996,N4DU,.
1/23/1996,R01A,.
1/26/1996,002C,.
1/26/1996,004B,.
1/26/1996,020B,.
1/26/1996,HQ,2.00
1/26/1996,HQ02,2.00
1/26/1996,K01B,.
1/26/1996,N01B,.
1/26/1996,N02B,.
1/26/1996,N4DF,.
1/26/1996,N4DU,.
1/26/1996,R01A,.
2/26/1996,002C,.
2/26/1996,004B,.
2/26/1996,020B,.
2/26/1996,HQ,4.40
2/26/1996,HQ02,4.00
2/26/1996,K01B,.
2/26/1996,N01B,.
2/26/1996,N02B,.
2/26/1996,N4DF,.
2/26/1996,N4DU,.
2/26/1996,R01A,.
2/27/1996,002C,.
2/27/1996,004B,.
2/27/1996,020B,.
2/27/1996,HQ,1.40
2/27/1996,HQ02,0.80
2/27/1996,K01B,.
2/27/1996,N01B,.
2/27/1996,N02B,.
2/27/1996,N4DF,.
2/27/1996,N4DU,.
2/27/1996,R01A,.
3/2/1996,002C,.
3/2/1996,004B,.
3/2/1996,020B,.
3/2/1996,HQ,0.60
3/2/1996,HQ02,0.50
3/2/1996,K01B,.
3/2/1996,N01B,.
3/2/1996,N02B,.
3/2/1996,N4DF,.
3/2/1996,N4DU,.
3/2/1996,R01A,.
3/14/1996,002C,.
3/14/1996,004B,.
3/14/1996,020B,.
3/14/1996,HQ,10.50
3/14/1996,HQ02,9.20
3/14/1996,K01B,.
3/14/1996,N01B,.
3/14/1996,N02B,.
3/14/1996,N4DF,.
3/14/1996,N4DU,.
3/14/1996,R01A,.
3/15/1996,002C,.
3/15/1996,004B,.
3/15/1996,020B,.
3/15/1996,HQ,2.00
3/15/1996,HQ02,2.80
3/15/1996,K01B,.
3/15/1996,N01B,.
3/15/1996,N02B,.
3/15/1996,N4DF,.
3/15/1996,N4DU,.
3/15/1996,R01A,.
3/24/1996,002C,.
3/24/1996,004B,.
3/24/1996,020B,.
3/24/1996,HQ,9.20
3/24/1996,HQ02,9.20
3/24/1996,K01B,.
3/24/1996,N01B,.
3/24/1996,N02B,.
3/24/1996,N4DF,.
3/24/1996,N4DU,.
3/24/1996,R01A,.
