Month,Statistic,Temp,SPC,DO,pH,Alkalinity,Cl,SO4,NO3,Ca,K,NH4,Mg,Na
Nov,Mean,15.19,659.88,32.28,6.96,349.48,1.97,34.72,0.67,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.94,26.09,7.33,0.10,20.81,0.13,1.58,0.20,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dec,Mean,14.93,664.75,32.30,6.97,340.57,2.02,35.26,0.75,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.80,7.01,4.52,0.11,9.05,0.10,1.16,0.19,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feb,Mean,14.00,664.50,35.66,6.68,334.30,2.17,36.22,0.83,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.37,10.95,2.64,0.19,8.07,0.10,0.55,0.19,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mar,Mean,14.68,665.50,28.59,6.79,338.54,2.22,36.81,0.91,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.41,9.58,2.01,0.17,7.64,0.10,0.46,0.16,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Apr,Mean,12.40,660.14,26.09,6.59,336.44,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.46,17.18,1.35,0.13,14.35,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
May,Mean,15.00,656.86,14.03,6.58,340.81,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.57,12.27,1.31,0.13,9.01,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Jun,Mean,14.36,595.14,25.64,7.20,343.35,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.53,9.89,4.57,0.03,6.50,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug,Mean,16.37,597.43,36.97,6.84,350.19,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,0.70,10.85,8.99,0.10,6.65,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sep,Mean,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,337.39,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.03,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Oct,Mean,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,SD,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,
OverallM,,14.62,646.7333333,29.16166667,6.823728814,341.3542667,2.083282576,35.56404672,0.746867923,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SD,,1.196718678,31.2186747,8.138631286,0.231344632,12.33467954,0.142785878,1.262831766,0.213810899,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
