Date_Time,Pressure_(kPa),Temperature,Conductivity,Unknown
8/31/16 16:08,11.73,19.09,596.44,3.71
8/31/16 16:13,11.73,19.09,596.56,3.71
8/31/16 16:18,11.73,19.09,596.51,3.71
8/31/16 16:23,11.73,19.09,596.5,3.71
8/31/16 16:28,11.73,19.09,596.51,3.71
8/31/16 16:33,11.73,19.09,596.49,3.71
8/31/16 16:38,11.73,19.09,596.5,3.71
8/31/16 16:43,11.73,19.09,596.56,3.71
8/31/16 16:48,11.73,19.09,596.5,0.09
8/31/16 16:53,11.73,19.09,596.53,0.09
8/31/16 16:58,11.73,19.09,596.47,3.71
8/31/16 17:03,11.73,19.09,596.5,3.71
8/31/16 17:08,11.73,19.09,596.46,3.71
8/31/16 17:13,11.73,19.09,596.56,3.71
8/31/16 17:18,11.72,19.09,596.62,3.71
8/31/16 17:23,11.73,19.09,596.46,3.71
8/31/16 17:28,11.74,19.09,596.57,3.71
8/31/16 17:33,11.73,19.09,596.56,3.71
8/31/16 17:38,11.74,19.09,596.46,3.71
8/31/16 17:43,11.74,19.09,596.52,3.71
8/31/16 17:48,11.74,19.09,596.56,3.71
8/31/16 17:53,11.74,19.09,596.54,3.71
8/31/16 17:58,11.75,19.09,596.48,3.71
8/31/16 18:03,11.75,19.09,596.56,3.71
8/31/16 18:08,11.75,19.09,596.52,3.71
8/31/16 18:13,11.75,19.09,596.56,3.71
8/31/16 18:18,11.75,19.09,596.5,3.71
8/31/16 18:23,11.76,19.09,596.52,3.71
8/31/16 18:28,11.76,19.09,596.6,3.71
8/31/16 18:33,11.76,19.09,596.49,3.71
8/31/16 18:38,11.76,19.09,596.53,3.71
8/31/16 18:43,11.77,19.09,596.55,3.71
8/31/16 18:48,11.77,19.09,596.6,3.71
8/31/16 18:53,11.76,19.1,596.49,3.71
8/31/16 18:58,11.77,19.09,596.52,3.71
8/31/16 19:03,11.76,19.1,596.55,3.71
8/31/16 19:08,11.76,19.09,596.53,3.71
8/31/16 19:13,11.76,19.1,596.48,3.71
8/31/16 19:18,11.76,19.1,596.58,3.71
8/31/16 19:23,11.75,19.1,596.51,3.71
8/31/16 19:28,11.76,19.1,596.56,3.71
8/31/16 19:33,11.76,19.1,596.53,3.71
8/31/16 19:38,11.76,19.1,596.62,3.71
8/31/16 19:43,11.75,19.1,596.56,3.71
8/31/16 19:48,11.75,19.1,596.51,0.09
8/31/16 19:53,11.74,19.1,596.58,3.71
8/31/16 19:58,11.75,19.1,596.54,3.71
8/31/16 20:03,11.75,19.1,596.56,3.71
8/31/16 20:08,11.75,19.1,596.59,3.71
8/31/16 20:13,11.74,19.1,596.55,3.71
8/31/16 20:18,11.75,19.1,596.5,3.71
8/31/16 20:23,11.74,19.1,596.56,3.71
8/31/16 20:28,11.75,19.1,596.53,3.71
8/31/16 20:33,11.74,19.1,596.5,3.71
8/31/16 20:38,11.75,19.1,596.58,3.71
8/31/16 20:43,11.74,19.1,596.63,0.09
8/31/16 20:48,11.74,19.1,596.64,0.09
8/31/16 20:53,11.74,19.1,596.55,3.71
8/31/16 20:58,11.74,19.1,596.51,3.71
8/31/16 21:03,11.74,19.1,596.53,3.71
8/31/16 21:08,11.74,19.1,596.47,3.71
8/31/16 21:13,11.74,19.1,596.5,3.71
8/31/16 21:18,11.74,19.1,596.8,0.09
8/31/16 21:23,11.74,19.1,596.5,3.71
8/31/16 21:28,11.73,19.1,596.57,3.71
8/31/16 21:33,11.73,19.1,596.57,3.71
8/31/16 21:38,11.74,19.1,596.59,3.71
8/31/16 21:43,11.74,19.1,596.54,3.71
8/31/16 21:48,11.74,19.1,596.55,3.71
8/31/16 21:53,11.74,19.1,596.57,3.71
8/31/16 21:58,11.73,19.1,596.61,3.71
8/31/16 22:03,11.73,19.1,596.62,3.71
8/31/16 22:08,11.74,19.1,596.65,3.71
8/31/16 22:13,11.74,19.1,596.77,3.71
8/31/16 22:18,11.73,19.1,596.59,3.71
8/31/16 22:23,11.74,19.1,596.69,3.71
8/31/16 22:28,11.73,19.1,596.56,3.71
8/31/16 22:33,11.73,19.1,596.68,3.71
8/31/16 22:38,11.74,19.1,596.63,3.71
8/31/16 22:43,11.73,19.1,596.65,3.71
8/31/16 22:48,11.74,19.1,596.58,3.71
8/31/16 22:53,11.73,19.1,596.65,3.71
8/31/16 22:58,11.74,19.1,596.62,3.71
8/31/16 23:03,11.74,19.1,596.57,3.71
8/31/16 23:08,11.73,19.1,596.63,3.71
8/31/16 23:13,11.73,19.1,596.62,3.71
8/31/16 23:18,11.73,19.1,596.57,3.71
8/31/16 23:23,11.73,19.1,596.72,3.71
8/31/16 23:28,11.74,19.1,596.62,3.71
8/31/16 23:33,11.73,19.1,596.59,3.71
8/31/16 23:38,11.73,19.1,596.62,3.71
8/31/16 23:43,11.73,19.1,596.63,3.71
8/31/16 23:48,11.73,19.1,596.72,3.71
8/31/16 23:53,11.73,19.1,596.6,3.71
8/31/16 23:58,11.73,19.1,596.65,3.71
9/1/16 0:03,11.73,19.1,596.7,3.71
9/1/16 0:08,11.73,19.1,596.68,3.71
9/1/16 0:13,11.73,19.1,596.66,3.71
9/1/16 0:18,11.73,19.1,596.68,3.71
