Date_Time,Pressure _(kPa),Temperature,Conductivity,Unknown
8/31/16 16:08,15.58,14.02,511.01,3.71
8/31/16 16:13,15.58,14.02,510.95,3.71
8/31/16 16:18,15.58,14.02,511.10,3.71
8/31/16 16:23,15.58,14.02,511.04,3.71
8/31/16 16:28,15.58,14.02,511.06,3.71
8/31/16 16:33,15.58,14.02,511.07,3.71
8/31/16 16:38,15.57,14.02,510.97,3.71
8/31/16 16:43,15.57,14.02,511.11,3.71
8/31/16 16:48,15.57,14.02,511.03,3.71
8/31/16 16:53,15.58,14.02,511.05,3.71
8/31/16 16:58,15.57,14.02,511.12,3.71
8/31/16 17:03,15.57,14.02,511.01,3.71
8/31/16 17:08,15.58,14.02,511.06,3.71
8/31/16 17:13,15.59,14.02,511.04,3.71
8/31/16 17:18,15.59,14.02,511.06,3.71
8/31/16 17:23,15.57,14.02,511.01,3.71
8/31/16 17:28,15.57,14.02,511.05,3.71
8/31/16 17:33,15.58,14.02,511.07,3.71
8/31/16 17:38,15.58,14.02,511.02,3.71
8/31/16 17:43,15.58,14.02,511.03,3.71
8/31/16 17:48,15.58,14.02,510.99,3.71
8/31/16 17:53,15.58,14.02,511.04,3.71
8/31/16 17:58,15.58,14.02,511.06,3.71
8/31/16 18:03,15.59,14.02,511.03,3.71
8/31/16 18:08,15.59,14.02,511.02,3.71
8/31/16 18:13,15.60,14.02,511.13,3.71
8/31/16 18:18,15.60,14.02,511.03,3.71
8/31/16 18:23,15.62,14.02,511.13,3.71
8/31/16 18:28,15.61,14.02,511.04,3.71
8/31/16 18:33,15.61,14.02,510.97,3.71
8/31/16 18:38,15.61,14.02,511.00,3.71
8/31/16 18:43,15.61,14.02,511.06,3.71
8/31/16 18:48,15.61,14.02,511.05,3.71
8/31/16 18:53,15.62,14.02,511.18,3.71
8/31/16 18:58,15.62,14.02,511.14,3.71
8/31/16 19:03,15.61,14.02,511.00,3.71
8/31/16 19:08,15.62,14.02,511.04,3.71
8/31/16 19:13,15.62,14.02,511.10,3.71
8/31/16 19:18,15.62,14.02,511.13,3.71
8/31/16 19:23,15.61,14.02,511.14,3.71
8/31/16 19:28,15.61,14.02,511.04,3.71
8/31/16 19:33,15.61,14.02,511.11,3.71
8/31/16 19:38,15.60,14.02,511.08,3.71
8/31/16 19:43,15.60,14.02,511.05,3.71
8/31/16 19:48,15.59,14.02,511.18,3.71
8/31/16 19:53,15.59,14.02,511.12,3.71
8/31/16 19:58,15.59,14.02,511.07,3.71
8/31/16 20:03,15.59,14.02,511.19,3.71
8/31/16 20:08,15.60,14.02,511.19,3.71
8/31/16 20:13,15.58,14.02,511.25,3.71
8/31/16 20:18,15.58,14.02,511.17,3.71
8/31/16 20:23,15.58,14.02,511.06,3.71
8/31/16 20:28,15.60,14.02,511.15,3.71
8/31/16 20:33,15.59,14.02,511.19,3.71
8/31/16 20:38,15.58,14.02,511.17,3.71
8/31/16 20:43,15.59,14.02,511.16,3.71
8/31/16 20:48,15.58,14.02,511.18,3.71
8/31/16 20:53,15.58,14.02,511.25,3.71
8/31/16 20:58,15.59,14.02,511.09,3.71
8/31/16 21:03,15.58,14.02,511.14,3.71
8/31/16 21:08,15.57,14.02,511.14,3.71
8/31/16 21:13,15.57,14.02,511.15,3.71
8/31/16 21:18,15.58,14.02,511.16,3.71
8/31/16 21:23,15.58,14.02,511.18,3.71
8/31/16 21:28,15.58,14.02,511.19,3.71
8/31/16 21:33,15.58,14.02,511.23,3.71
8/31/16 21:38,15.58,14.02,511.17,3.71
8/31/16 21:43,15.57,14.02,511.09,3.71
8/31/16 21:48,15.58,14.02,511.13,3.71
8/31/16 21:53,15.57,14.02,511.10,3.71
8/31/16 21:58,15.59,14.02,511.18,3.71
8/31/16 22:03,15.58,14.02,511.25,3.71
8/31/16 22:08,15.58,14.02,511.22,3.71
8/31/16 22:13,15.57,14.02,511.18,3.71
8/31/16 22:18,15.57,14.02,511.20,3.71
8/31/16 22:23,15.57,14.02,511.20,3.71
8/31/16 22:28,15.57,14.02,511.22,3.71
8/31/16 22:33,15.57,14.02,511.20,3.71
8/31/16 22:38,15.58,14.02,511.16,3.71
8/31/16 22:43,15.57,14.02,511.18,3.71
8/31/16 22:48,15.57,14.02,511.22,3.71
8/31/16 22:53,15.57,14.02,511.17,3.71
8/31/16 22:58,15.56,14.02,511.09,3.71
8/31/16 23:03,15.56,14.02,511.23,3.71
8/31/16 23:08,15.56,14.02,511.18,3.71
8/31/16 23:13,15.56,14.02,511.18,3.71
8/31/16 23:18,15.57,14.02,511.25,3.71
8/31/16 23:23,15.57,14.02,511.21,3.71
8/31/16 23:28,15.56,14.02,511.22,3.71
8/31/16 23:33,15.57,14.02,511.22,3.71
8/31/16 23:38,15.57,14.02,511.22,3.71
8/31/16 23:43,15.56,14.02,511.24,3.71
8/31/16 23:48,15.56,14.02,511.16,3.71
8/31/16 23:53,15.56,14.02,511.21,3.71
8/31/16 23:58,15.56,14.02,511.19,3.71
9/1/16 0:03,15.57,14.02,511.17,3.71
9/1/16 0:08,15.57,14.02,511.29,3.71
9/1/16 0:13,15.57,14.02,511.18,3.71
9/1/16 0:18,15.57,14.02,511.18,3.71
9/1/16 0:23,15.57,14.02,511.07,3.71
9/1/16 0:28,15.57,14.02,511.13,3.71
9/1/16 0:33,15.57,14.02,511.11,3.71
9/1/16 0:38,15.56,14.02,511.23,3.71
9/1/16 0:43,15.57,14.02,511.19,3.71
9/1/16 0:48,15.57,14.02,511.11,3.71
9/1/16 0:53,15.56,14.02,511.29,3.71
9/1/16 0:58,15.56,14.02,511.18,3.71
9/1/16 1:03,15.56,14.02,511.28,3.71
9/1/16 1:08,15.56,14.02,511.16,3.71
9/1/16 1:13,15.56,14.02,511.21,3.71
9/1/16 1:18,15.57,14.02,511.11,3.71
9/1/16 1:23,15.57,14.02,511.15,3.71
9/1/16 1:28,15.57,14.02,511.19,3.71
9/1/16 1:33,15.56,14.02,511.10,3.71
9/1/16 1:38,15.56,14.02,511.15,3.71
9/1/16 1:43,15.57,14.02,511.16,3.71
9/1/16 1:48,15.57,14.02,511.20,3.71
9/1/16 1:53,15.56,14.02,511.10,3.71
9/1/16 1:58,15.56,14.02,511.09,3.71
9/1/16 2:03,15.56,14.02,511.18,3.71
9/1/16 2:08,15.56,14.02,511.14,3.71
9/1/16 2:13,15.57,14.02,511.19,3.71
9/1/16 2:18,15.56,14.02,511.23,3.71
9/1/16 2:23,15.57,14.02,511.17,3.71
9/1/16 2:28,15.57,14.02,511.14,3.71
9/1/16 2:33,15.58,14.02,511.18,3.71
9/1/16 2:38,15.58,14.02,511.15,3.71
9/1/16 2:43,15.58,14.02,511.11,3.71
9/1/16 2:48,15.58,14.02,511.08,3.71
9/1/16 2:53,15.57,14.02,511.09,3.71
9/1/16 2:58,15.57,14.02,511.10,3.71
9/1/16 3:03,15.56,14.02,511.23,3.71
9/1/16 3:08,15.57,14.02,511.07,3.71
9/1/16 3:13,15.57,14.02,511.06,3.71
9/1/16 3:18,15.57,14.02,511.00,3.71
9/1/16 3:23,15.57,14.02,511.16,3.71
9/1/16 3:28,15.57,14.02,511.12,3.71
9/1/16 3:33,15.58,14.02,511.13,3.71
9/1/16 3:38,15.57,14.02,511.08,3.71
9/1/16 3:43,15.57,14.02,511.09,3.71
9/1/16 3:48,15.56,14.02,511.08,3.71
9/1/16 3:53,15.56,14.02,511.10,3.71
9/1/16 3:58,15.58,14.02,511.05,3.71
9/1/16 4:03,15.58,14.02,511.12,3.71
9/1/16 4:08,15.58,14.02,511.02,3.71
9/1/16 4:13,15.57,14.02,511.09,3.71
9/1/16 4:18,15.58,14.02,510.94,3.71
9/1/16 4:23,15.58,14.02,510.97,3.71
9/1/16 4:28,15.58,14.02,510.96,3.71
