Month,Well,Bank,Depth to Water,Water Temp ,Specific Conductance,Dissolved Oxygen(%),pH,Alkalinity ,Cl,SO4,NO3,Ca,K,NH4,Mg,Na
Nov,Well1,Ag,538,16.6,598,30.2,,389.2,1.956,34.032,0.727,,,,,
Nov,Well2,Pr,496,14.4,663,29.7,6.95,323.7,1.849,34.884,0.661,,,,,
Nov,Well3,Pr,647,14,667,36,6.92,347.3,1.869,34.172,0.559,,,,,
Nov,Well4,Ag,488,16.1,666,24,7.1,335.9,1.952,34.154,0.710,,,,,
Nov,Well5,Pr,475,14.4,671,38,6.92,355.9,1.851,33.834,0.506,,,,,
Nov,Well6,Ag,497,15.5,681,26.2,6.84,353.3,2.197,38.555,1.103,,,,,
Nov,Well7,Ag,421,15.8,657,27.9,7.08,329.3,1.969,34.083,0.647,,,,,
Nov,Well8,Pr,453,14.7,676,46.2,6.88,361.2,2.110,34.068,0.427,,,,,
Dec,Well1,Ag,561,16.1,669,31.1,7.1,362.4,1.979,34.619,0.851,,,,,
Dec,Well2,Pr,517,14.5,662,33.3,6.97,338.02,1.944,35.381,0.691,,,,,
Dec,Well3,Pr,666,14.2,671,34,6.91,339.15,1.887,34.636,0.612,,,,,
Dec,Well4,Ag,508,16,664,28.7,7.08,336.67,2.016,34.734,0.878,,,,,
Dec,Well5,Pr,494,14.5,656,32.1,6.87,338.98,1.948,34.458,0.628,,,,,
Dec,Well6,Ag,519,15.4,673,29.9,6.85,333.19,2.153,38.018,1.081,,,,,
Dec,Well7,Ag,440,14.1,654,27.3,7.1,336.66,2.080,35.021,0.817,,,,,
Dec,Well8,Pr,470,14.6,669,42,6.84,339.52,2.140,35.209,0.454,,,,,
Jan,Well1,Ag,580.5,,,,,379,1.947,34.511,0.579,,,,,
Jan,Well2,Pr,536,,,,,314.6,1.928,35.252,0.489,,,,,
Jan,Well3,Pr,685.5,,,,,342,1.949,34.238,0.490,,,,,
Jan,Well4,Ag,525.5,,,,,346.5,2.057,34.445,0.714,,,,,
Jan,Well5,Pr,512.5,,,,,337.7,1.923,33.931,0.458,,,,,
Jan,Well6,Ag,539,,,,,346.7,2.151,36.63,0.813,,,,,
Jan,Well7,Ag,456.5,,,,,331.1,2.253,34.526,0.732,,,,,
Jan,Well8,Pr,486.5,,,,,343.7,2.083,34.946,0.289,,,,,
Feb,Well1,Ag,593,14.1,688,36.5,6.6,325,2.369,35.712,0.949,,,,,
Feb,Well2,Pr,550,13.9,667,34.3,6.95,326.2,2.119,36.750,0.748,,,,,
Feb,Well3,Pr,698,13.7,662,39.8,6.79,329.4,2.080,35.853,0.751,,,,,
Feb,Well4,Ag,537,14.8,670,33.7,6.58,341.4,2.154,35.830,0.982,,,,,
